"","model","category_type","level","coverage","ci_lower","ci_upper","n_total","binom_p_value"
"1","EnsembleComplete","00+","50",0.625,0.52062246265203,0.718920770681747,88,0.024622831581791
"2","Inferno_LogNormal","00+","50",0.738636363636364,0.638242200291114,0.819067608800642,88,8.50110761369032e-06
"3","Inferno_NegBin","00+","50",0.738636363636364,0.638242200291114,0.819067608800642,88,8.50110761369032e-06
"4","LightGBM","00+","50",0.375,0.281079229318253,0.47937753734797,88,0.024622831581791
"5","MeanEnsemble","00+","50",0.670454545454545,0.566928235789931,0.759721627847037,88,0.0018240286456272
"6","MoA_LogNormal","00+","50",0.397727272727273,0.301817382246465,0.502192699571353,88,0.0693460436850645
"7","MoA_NegBin","00+","50",0.431818181818182,0.333326770563229,0.536013283981984,88,0.240793124539001
"8","TSMixer","00+","50",0.556818181818182,0.452817906371824,0.656065381507166,88,0.337399036853119
"9","hhh4","00+","50",0.556818181818182,0.452817906371824,0.656065381507166,88,0.337399036853119
"10","hhh4_christmas","00+","50",0.727272727272727,0.626187950510491,0.809345201005467,88,2.37265907874396e-05
"11","EnsembleComplete","00+","80",0.784090909090909,0.687224686344135,0.857191753050812,88,0.689958138349309
"12","Inferno_LogNormal","00+","80",0.897727272727273,0.816927515764754,0.945255499388173,88,0.0225339857355452
"13","Inferno_NegBin","00+","80",0.897727272727273,0.816927515764754,0.945255499388173,88,0.0225339857355452
"14","LightGBM","00+","80",0.715909090909091,0.614204186395073,0.799552307545087,88,0.0607929069470597
"15","MeanEnsemble","00+","80",0.829545454545455,0.737631290854466,0.893891778843673,88,0.593867588810525
"16","MoA_LogNormal","00+","80",0.670454545454545,0.566928235789931,0.759721627847037,88,0.00463604961225422
"17","MoA_NegBin","00+","80",0.613636363636364,0.509187570066125,0.708579005691854,88,7.66491879832187e-05
"18","TSMixer","00+","80",0.863636363636364,0.776612496242885,0.920240546182648,88,0.144510752875717
"19","hhh4","00+","80",0.761363636363636,0.662573550326628,0.838289573916724,88,0.352362535471055
"20","hhh4_christmas","00+","80",0.920454545454545,0.844801187426777,0.960935142877746,88,0.00308037071164502
"21","EnsembleComplete","00+","95",0.909090909090909,0.830746094204892,0.953213578523833,88,0.0843477423039078
"22","Inferno_LogNormal","00+","95",0.943181818181818,0.873800673429928,0.975488972026191,88,0.628654750977154
"23","Inferno_NegBin","00+","95",0.943181818181818,0.873800673429928,0.975488972026191,88,0.628654750977154
"24","LightGBM","00+","95",0.875,0.789882441523253,0.928747258478077,88,0.00445798295638189
"25","MeanEnsemble","00+","95",0.909090909090909,0.830746094204892,0.953213578523833,88,0.0843477423039078
"26","MoA_LogNormal","00+","95",0.920454545454545,0.844801187426777,0.960935142877746,88,0.212909043624893
"27","MoA_NegBin","00+","95",0.909090909090909,0.830746094204892,0.953213578523833,88,0.0843477423039078
"28","TSMixer","00+","95",0.943181818181818,0.873800673429928,0.975488972026191,88,0.628654750977154
"29","hhh4","00+","95",0.829545454545455,0.737631290854466,0.893891778843673,88,2.99409588501562e-05
"30","hhh4_christmas","00+","95",0.965909090909091,0.9045039578073,0.988339002800415,88,0.803948160453776
