"","model","category_type","level","coverage","ci_lower","ci_upper","n_total","binom_p_value"
"1","Inferno_LogNormal","35-59","50",0.738636363636364,0.638242200291114,0.819067608800642,88,8.50110761369032e-06
"2","Inferno_NegBin","35-59","50",0.761363636363636,0.662573550326628,0.838289573916724,88,9.20307599907443e-07
"3","LightGBM","35-59","50",0.363636363636364,0.270792996125482,0.467887112964944,88,0.0137503857385029
"4","MeanEnsemble","35-59","50",0.693181818181818,0.590438484253046,0.779764694535518,88,0.000374022014944922
"5","MoA_LogNormal","35-59","50",0.409090909090909,0.312267592005491,0.513519147388126,88,0.109295429777315
"6","MoA_NegBin","35-59","50",0.431818181818182,0.333326770563229,0.536013283981984,88,0.240793124539001
"7","TSMixer","35-59","50",0.556818181818182,0.452817906371824,0.656065381507166,88,0.337399036853119
"8","hhh4","35-59","50",0.477272727272727,0.376066279792277,0.580380405056127,88,0.749329003202281
"9","Inferno_LogNormal","35-59","80",0.897727272727273,0.816927515764754,0.945255499388173,88,0.0225339857355452
"10","Inferno_NegBin","35-59","80",0.897727272727273,0.816927515764754,0.945255499388173,88,0.0225339857355452
"11","LightGBM","35-59","80",0.715909090909091,0.614204186395073,0.799552307545087,88,0.0607929069470597
"12","MeanEnsemble","35-59","80",0.863636363636364,0.776612496242885,0.920240546182648,88,0.144510752875717
"13","MoA_LogNormal","35-59","80",0.784090909090909,0.687224686344135,0.857191753050812,88,0.689958138349309
"14","MoA_NegBin","35-59","80",0.761363636363636,0.662573550326628,0.838289573916724,88,0.352362535471055
"15","TSMixer","35-59","80",0.863636363636364,0.776612496242885,0.920240546182648,88,0.144510752875717
"16","hhh4","35-59","80",0.761363636363636,0.662573550326628,0.838289573916724,88,0.352362535471055
"17","Inferno_LogNormal","35-59","95",0.965909090909091,0.9045039578073,0.988339002800415,88,0.803948160453776
"18","Inferno_NegBin","35-59","95",0.954545454545455,0.888882552267823,0.982183750764093,88,1
"19","LightGBM","35-59","95",0.897727272727273,0.816927515764754,0.945255499388173,88,0.0428806593256928
"20","MeanEnsemble","35-59","95",0.943181818181818,0.873800673429928,0.975488972026191,88,0.628654750977154
"21","MoA_LogNormal","35-59","95",0.897727272727273,0.816927515764754,0.945255499388173,88,0.0428806593256928
"22","MoA_NegBin","35-59","95",0.886363636363636,0.803314361328142,0.937091996248986,88,0.0125242176261978
"23","TSMixer","35-59","95",0.943181818181818,0.873800673429928,0.975488972026191,88,0.628654750977154
"24","hhh4","35-59","95",0.897727272727273,0.816927515764754,0.945255499388173,88,0.0428806593256928
