location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-10-17,2024-10-20,1,quantile,0.025,671106.4740007009
DE,00+,2024-10-17,2024-10-20,1,quantile,0.1,1006987.9280134491
DE,00+,2024-10-17,2024-10-20,1,quantile,0.25,1154631.8635569324
DE,00+,2024-10-17,2024-10-20,1,quantile,0.5,1314564.0734506221
DE,00+,2024-10-17,2024-10-20,1,quantile,0.75,1485990.1030126605
DE,00+,2024-10-17,2024-10-20,1,quantile,0.9,1658571.6467223451
DE,00+,2024-10-17,2024-10-20,1,quantile,0.975,1860896.6468366794
DE,00+,2024-10-17,2024-10-27,2,quantile,0.025,577825.0359369694
DE,00+,2024-10-17,2024-10-27,2,quantile,0.1,920116.8339544974
DE,00+,2024-10-17,2024-10-27,2,quantile,0.25,1096986.6162446642
DE,00+,2024-10-17,2024-10-27,2,quantile,0.5,1283059.8651313258
DE,00+,2024-10-17,2024-10-27,2,quantile,0.75,1487617.8499002932
DE,00+,2024-10-17,2024-10-27,2,quantile,0.9,1689774.2575352355
DE,00+,2024-10-17,2024-10-27,2,quantile,0.975,1962337.6331922938
DE,00+,2024-10-17,2024-11-03,3,quantile,0.025,584166.6368118558
DE,00+,2024-10-17,2024-11-03,3,quantile,0.1,915452.9118461048
DE,00+,2024-10-17,2024-11-03,3,quantile,0.25,1108986.9989970832
DE,00+,2024-10-17,2024-11-03,3,quantile,0.5,1318641.388701031
DE,00+,2024-10-17,2024-11-03,3,quantile,0.75,1539067.413952202
DE,00+,2024-10-17,2024-11-03,3,quantile,0.9,1745218.1666819854
DE,00+,2024-10-17,2024-11-03,3,quantile,0.975,2033934.3468888768
DE,00+,2024-10-17,2024-11-10,4,quantile,0.025,602320.1837342416
DE,00+,2024-10-17,2024-11-10,4,quantile,0.1,939383.9514692995
DE,00+,2024-10-17,2024-11-10,4,quantile,0.25,1141581.2786921554
DE,00+,2024-10-17,2024-11-10,4,quantile,0.5,1350802.5368518643
DE,00+,2024-10-17,2024-11-10,4,quantile,0.75,1560432.1358697056
DE,00+,2024-10-17,2024-11-10,4,quantile,0.9,1770859.7429572972
DE,00+,2024-10-17,2024-11-10,4,quantile,0.975,2056776.3301181293
DE,00-04,2024-10-17,2024-10-20,1,quantile,0.025,87310.37368847377
DE,00-04,2024-10-17,2024-10-20,1,quantile,0.1,122380.2060927447
DE,00-04,2024-10-17,2024-10-20,1,quantile,0.25,143173.663391613
DE,00-04,2024-10-17,2024-10-20,1,quantile,0.5,169189.69493193785
DE,00-04,2024-10-17,2024-10-20,1,quantile,0.75,200368.76687441103
DE,00-04,2024-10-17,2024-10-20,1,quantile,0.9,230774.78716859716
DE,00-04,2024-10-17,2024-10-20,1,quantile,0.975,269875.69862629427
DE,00-04,2024-10-17,2024-10-27,2,quantile,0.025,84457.77291460398
DE,00-04,2024-10-17,2024-10-27,2,quantile,0.1,124290.32443591264
DE,00-04,2024-10-17,2024-10-27,2,quantile,0.25,147017.11634888485
DE,00-04,2024-10-17,2024-10-27,2,quantile,0.5,173656.8026353162
DE,00-04,2024-10-17,2024-10-27,2,quantile,0.75,204568.7326037569
DE,00-04,2024-10-17,2024-10-27,2,quantile,0.9,240772.90431464725
DE,00-04,2024-10-17,2024-10-27,2,quantile,0.975,287550.3790765933
DE,00-04,2024-10-17,2024-11-03,3,quantile,0.025,81027.0194089009
DE,00-04,2024-10-17,2024-11-03,3,quantile,0.1,124056.12572041404
DE,00-04,2024-10-17,2024-11-03,3,quantile,0.25,146564.1943740533
DE,00-04,2024-10-17,2024-11-03,3,quantile,0.5,173815.14524675024
DE,00-04,2024-10-17,2024-11-03,3,quantile,0.75,206452.0047372322
DE,00-04,2024-10-17,2024-11-03,3,quantile,0.9,248231.91877242477
DE,00-04,2024-10-17,2024-11-03,3,quantile,0.975,308695.00604188995
DE,00-04,2024-10-17,2024-11-10,4,quantile,0.025,77621.64995594925
DE,00-04,2024-10-17,2024-11-10,4,quantile,0.1,127630.33264529234
DE,00-04,2024-10-17,2024-11-10,4,quantile,0.25,152930.052512749
DE,00-04,2024-10-17,2024-11-10,4,quantile,0.5,181316.9814981896
DE,00-04,2024-10-17,2024-11-10,4,quantile,0.75,214455.11634299663
DE,00-04,2024-10-17,2024-11-10,4,quantile,0.9,249612.2583093778
DE,00-04,2024-10-17,2024-11-10,4,quantile,0.975,320050.83300061733
DE,05-14,2024-10-17,2024-10-20,1,quantile,0.025,60504.32112527218
DE,05-14,2024-10-17,2024-10-20,1,quantile,0.1,95545.98738039169
DE,05-14,2024-10-17,2024-10-20,1,quantile,0.25,116002.5723547372
DE,05-14,2024-10-17,2024-10-20,1,quantile,0.5,142253.37360147593
DE,05-14,2024-10-17,2024-10-20,1,quantile,0.75,175438.88926084706
DE,05-14,2024-10-17,2024-10-20,1,quantile,0.9,205884.73205010826
DE,05-14,2024-10-17,2024-10-20,1,quantile,0.975,246302.58575684234
DE,05-14,2024-10-17,2024-10-27,2,quantile,0.025,57701.218402645434
DE,05-14,2024-10-17,2024-10-27,2,quantile,0.1,95274.40603489603
DE,05-14,2024-10-17,2024-10-27,2,quantile,0.25,116541.22937738567
DE,05-14,2024-10-17,2024-10-27,2,quantile,0.5,142140.1579955848
DE,05-14,2024-10-17,2024-10-27,2,quantile,0.75,172660.8668135683
DE,05-14,2024-10-17,2024-10-27,2,quantile,0.9,212689.94557173154
DE,05-14,2024-10-17,2024-10-27,2,quantile,0.975,260627.71979097128
