"","location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"1","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.025,671106.474000701
"2","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.1,1006987.92801345
"3","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.25,1154631.86355693
"4","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.5,1314564.07345062
"5","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.75,1485990.10301266
"6","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.9,1658571.64672235
"7","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.975,1860896.64683668
"8","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.025,577825.035936969
"9","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.1,920116.833954497
"10","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.25,1096986.61624466
"11","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.5,1283059.86513133
"12","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.75,1487617.84990029
"13","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.9,1689774.25753524
"14","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.975,1962337.63319229
"15","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.025,584166.636811856
"16","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.1,915452.911846105
"17","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.25,1108986.99899708
"18","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.5,1318641.38870103
"19","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.75,1539067.4139522
"20","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.9,1745218.16668199
"21","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.975,2033934.34688888
"22","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.025,602320.183734242
"23","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.1,939383.951469299
"24","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.25,1141581.27869216
"25","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.5,1350802.53685186
