"","model","age_group","wis","overprediction","underprediction","dispersion","bias","interval_coverage_50","ae_median"
"1","Inferno Log-Normal","00+",67463.770276652,10149.1131567417,17217.2368249971,40097.4202949132,-0.115909090909091,0.738636363636364,104985.256444706
"2","Inferno Log-Normal","00-04",8698.50049244499,2053.14451289133,2691.60743511252,3953.74854444114,-0.0397727272727273,0.636363636363636,14851.3519751722
"3","Inferno Log-Normal","05-14",14886.0498311745,2295.19233490946,6954.37032092596,5636.48717533909,-0.200568181818182,0.465909090909091,26867.4393566574
"4","Inferno Log-Normal","15-34",20324.7168610756,2199.19662578622,6304.88959542081,11820.6306398686,-0.261363636363636,0.704545454545455,34199.0440778617
"5","Inferno Log-Normal","35-59",26336.824904558,3625.31220634307,5579.17074966531,17132.3419485496,-0.0943181818181818,0.738636363636364,40168.1175491864
"6","Inferno Log-Normal","60+",8396.05951592884,937.389761306315,1816.55989377654,5642.10986084598,-0.136363636363636,0.738636363636364,13704.0974431002
"7","Inferno Check","00+",93435.7427592139,26246.4479208637,27675.2561678332,39514.0386705171,-0.0642045454545455,0.647727272727273,148224.279309745
"8","Inferno Check","00-04",12804.9955692706,4736.49372860891,4173.01352908602,3895.48831157565,0.0414772727272727,0.568181818181818,19716.7656195061
"9","Inferno Check","05-14",14714.5780361095,3036.58038613509,6134.95971949385,5543.03793048057,-0.148295454545455,0.431818181818182,26803.6482208788
"10","Inferno Check","15-34",27348.5117181651,6469.59452231764,9226.06351438148,11652.853681466,-0.205681818181818,0.602272727272727,45443.264640216
"11","Inferno Check","35-59",34692.9548976729,8889.80226407272,8924.36265400587,16878.7899795944,-0.0727272727272727,0.681818181818182,56071.6220167116
"12","Inferno Check","60+",10929.143797002,2752.49159408617,2611.88065746647,5564.77154544934,-0.116477272727273,0.647727272727273,18363.3047855589
