"","location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"1","DE","00+",2024-10-17,2024-10-20,1,"mean",NA,1468849.50133175
"2","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.025,1186097.27152004
"3","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.1,1273991.92781233
"4","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.25,1363438.42256745
"5","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.5,1459336.66829854
"6","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.75,1567331.16384403
"7","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.9,1671451.27759517
"8","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.975,1797374.26236884
"9","DE","00+",2024-10-17,2024-10-27,2,"mean",NA,1387238.25482467
"10","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.025,1057992.98682307
"11","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.1,1156094.95394647
"12","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.25,1253552.37149156
"13","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.5,1374372.84920171
"14","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.75,1506085.24029279
"15","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.9,1639247.01706938
"16","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.975,1799434.88714509
"17","DE","00+",2024-10-17,2024-11-03,3,"mean",NA,1082943.47200149
"18","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.025,783935.336901087
"19","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.1,872648.55650573
"20","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.25,961073.031866948
"21","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.5,1069361.61371115
"22","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.75,1191353.0220725
"23","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.9,1312489.43624136
"24","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.975,1460414.66074637
"25","DE","00+",2024-10-17,2024-11-10,4,"mean",NA,1293144.49696315
"26","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.025,910556.402819107
"27","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.1,1018795.19333474
"28","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.25,1131764.79031356
"29","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.5,1274970.65392621
"30","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.75,1432014.78635053
"31","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.9,1589483.76225925
"32","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.975,1779643.54086663
"33","DE","00-04",2024-10-17,2024-10-20,1,"mean",NA,187923.12164148
"34","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.025,162145.129444885
"35","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.1,170217.831251579
"36","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.25,178160.849473685
"37","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.5,187130.633001836
