"","location","age_group","forecast_date","target_end_date","horizon","observed","lower_95","lower_80","lower_50","median","upper_50","upper_80","upper_95"
"1","DE","00+",2024-10-17,2024-10-20,1,1443282,1182699.08301461,1275083.82348443,1360685.22711375,1460420.86179286,1568377.4691236,1674436.6183803,1794274.90661524
"2","DE","00+",2024-10-17,2024-10-27,2,1407532,1044390.47628575,1147818.64756422,1248980.16243956,1366888.58322464,1502613.9355392,1638456.82342526,1808013.26310957
"3","DE","00+",2024-10-17,2024-11-03,3,1098257,768436.56722477,863068.820325822,953885.798704677,1061921.95474891,1183133.16891764,1313139.3705826,1465175.23222967
"4","DE","00+",2024-10-17,2024-11-10,4,1458246,894525.635059583,1009000.30134246,1127743.37571193,1267938.18954298,1427974.94247859,1583725.12358894,1786619.179272
"5","DE","00-04",2024-10-17,2024-10-20,1,200728,161935.935562986,170512.90310626,178446.201333812,187629.898823539,197781.76293689,206740.292078861,217296.550935688
"6","DE","00-04",2024-10-17,2024-10-27,2,191870,158718.627314441,168722.440440025,178373.268193224,190348.677693249,202995.256630766,214446.575525305,228876.821705823
"7","DE","00-04",2024-10-17,2024-11-03,3,156082,128812.006569967,138495.355918706,147316.734469624,158442.725956219,170596.912274843,181830.404451829,195241.3956101
"8","DE","00-04",2024-10-17,2024-11-10,4,181588,141268.171562543,153198.206779722,164290.130565622,177880.543910235,191858.625589999,204652.969428568,220700.619023786
"9","DE","05-14",2024-10-17,2024-10-20,1,144455,112667.910094568,122437.936025353,131413.0001889,142248.851772533,154084.169037752,165657.943399798,179739.810240076
"10","DE","05-14",2024-10-17,2024-10-27,2,138826,101492.660448503,112813.192724628,124035.715091021,137330.436921486,152232.999982589,167902.084665582,187137.648015227
"11","DE","05-14",2024-10-17,2024-11-03,3,117440,77965.980714575,88178.1757664816,98441.6065793389,110745.15148916,124807.67890246,139451.549223716,157908.324964125
"12","DE","05-14",2024-10-17,2024-11-10,4,164040,95901.0750829731,109116.234713291,123029.385533704,139733.16191566,158710.984445404,178239.079418439,202505.375027057
"13","DE","15-34",2024-10-17,2024-10-20,1,444126,338694.869517327,367819.248664459,395970.715173188,428660.439697211,466479.300647103,501957.640093284,543904.420896363
"14","DE","15-34",2024-10-17,2024-10-27,2,414051,289641.671605731,319778.783519344,349220.582010762,387238.582581623,429354.357852146,467854.258154302,517641.403132239
"15","DE","15-34",2024-10-17,2024-11-03,3,312855,215448.495804297,241356.894029036,265434.023903517,298369.196771087,335281.880822007,371110.531963456,414304.225948988
"16","DE","15-34",2024-10-17,2024-11-10,4,443559,248415.145286644,283756.892949049,315948.670265837,358616.949604237,405017.042517265,449009.701679219,509213.783535247
