"","location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"1","DE","00+",2025-10-16,2025-10-19,1,"quantile",0.025,1001076.59254811
"2","DE","00+",2025-10-16,2025-10-19,1,"quantile",0.1,1079048.17198383
"3","DE","00+",2025-10-16,2025-10-19,1,"quantile",0.25,1151617.68665862
"4","DE","00+",2025-10-16,2025-10-19,1,"quantile",0.5,1238440.14437011
"5","DE","00+",2025-10-16,2025-10-19,1,"quantile",0.75,1330241.50626747
"6","DE","00+",2025-10-16,2025-10-19,1,"quantile",0.9,1417594.20540655
"7","DE","00+",2025-10-16,2025-10-19,1,"quantile",0.975,1520756.28885827
"8","DE","00+",2025-10-16,2025-10-26,2,"quantile",0.025,907073.342196475
"9","DE","00+",2025-10-16,2025-10-26,2,"quantile",0.1,1001638.35677314
"10","DE","00+",2025-10-16,2025-10-26,2,"quantile",0.25,1082055.80010112
"11","DE","00+",2025-10-16,2025-10-26,2,"quantile",0.5,1186838.79169174
"12","DE","00+",2025-10-16,2025-10-26,2,"quantile",0.75,1302866.30241459
"13","DE","00+",2025-10-16,2025-10-26,2,"quantile",0.9,1419244.50997997
"14","DE","00+",2025-10-16,2025-10-26,2,"quantile",0.975,1552698.14054586
"15","DE","00+",2025-10-16,2025-11-02,3,"quantile",0.025,687346.466963609
"16","DE","00+",2025-10-16,2025-11-02,3,"quantile",0.1,766197.692131833
"17","DE","00+",2025-10-16,2025-11-02,3,"quantile",0.25,846467.759812543
"18","DE","00+",2025-10-16,2025-11-02,3,"quantile",0.5,946597.392522879
"19","DE","00+",2025-10-16,2025-11-02,3,"quantile",0.75,1058553.34820224
"20","DE","00+",2025-10-16,2025-11-02,3,"quantile",0.9,1164009.44644572
"21","DE","00+",2025-10-16,2025-11-02,3,"quantile",0.975,1299273.82794656
"22","DE","00+",2025-10-16,2025-11-09,4,"quantile",0.025,819655.18556664
"23","DE","00+",2025-10-16,2025-11-09,4,"quantile",0.1,917339.835563948
"24","DE","00+",2025-10-16,2025-11-09,4,"quantile",0.25,1020973.59223653
