"","location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"1","DE","00+",2024-10-17,2024-10-20,1,"mean",NA,1469027.19897642
"2","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.025,1182699.08301461
"3","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.1,1275083.82348443
"4","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.25,1360685.22711375
"5","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.5,1460420.86179286
"6","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.75,1568377.4691236
"7","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.9,1674436.6183803
"8","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.975,1794274.90661524
"9","DE","00+",2024-10-17,2024-10-27,2,"mean",NA,1382993.78037126
"10","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.025,1044390.47628575
"11","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.1,1147818.64756422
"12","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.25,1248980.16243956
"13","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.5,1366888.58322464
"14","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.75,1502613.9355392
"15","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.9,1638456.82342526
"16","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.975,1808013.26310957
"17","DE","00+",2024-10-17,2024-11-03,3,"mean",NA,1077054.24111777
"18","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.025,768436.56722477
"19","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.1,863068.820325822
"20","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.25,953885.798704677
"21","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.5,1061921.95474891
"22","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.75,1183133.16891764
"23","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.9,1313139.3705826
"24","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.975,1465175.23222967
"25","DE","00+",2024-10-17,2024-11-10,4,"mean",NA,1286777.37993641
"26","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.025,894525.635059583
"27","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.1,1009000.30134246
"28","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.25,1127743.37571193
"29","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.5,1267938.18954298
"30","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.75,1427974.94247859
"31","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.9,1583725.12358894
"32","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.975,1786619.179272
"33","DE","00-04",2024-10-17,2024-10-20,1,"mean",NA,188262.571815873
"34","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.025,161935.935562986
"35","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.1,170512.90310626
"36","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.25,178446.201333812
"37","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.5,187629.898823539
"38","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.75,197781.76293689
