"","location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"1","DE","00+",2025-10-16,2025-10-19,1,"mean",NA,1243904.94529136
"2","DE","00+",2025-10-16,2025-10-19,1,"quantile",0.025,1001076.59254811
"3","DE","00+",2025-10-16,2025-10-19,1,"quantile",0.1,1079048.17198383
"4","DE","00+",2025-10-16,2025-10-19,1,"quantile",0.25,1151617.68665862
"5","DE","00+",2025-10-16,2025-10-19,1,"quantile",0.5,1238440.14437011
"6","DE","00+",2025-10-16,2025-10-19,1,"quantile",0.75,1330241.50626747
"7","DE","00+",2025-10-16,2025-10-19,1,"quantile",0.9,1417594.20540655
"8","DE","00+",2025-10-16,2025-10-19,1,"quantile",0.975,1520756.28885827
"9","DE","00+",2025-10-16,2025-10-26,2,"mean",NA,1199250.01116234
"10","DE","00+",2025-10-16,2025-10-26,2,"quantile",0.025,907073.342196475
"11","DE","00+",2025-10-16,2025-10-26,2,"quantile",0.1,1001638.35677314
"12","DE","00+",2025-10-16,2025-10-26,2,"quantile",0.25,1082055.80010112
"13","DE","00+",2025-10-16,2025-10-26,2,"quantile",0.5,1186838.79169174
"14","DE","00+",2025-10-16,2025-10-26,2,"quantile",0.75,1302866.30241459
"15","DE","00+",2025-10-16,2025-10-26,2,"quantile",0.9,1419244.50997997
"16","DE","00+",2025-10-16,2025-10-26,2,"quantile",0.975,1552698.14054586
"17","DE","00+",2025-10-16,2025-11-02,3,"mean",NA,958959.353203977
"18","DE","00+",2025-10-16,2025-11-02,3,"quantile",0.025,687346.466963609
"19","DE","00+",2025-10-16,2025-11-02,3,"quantile",0.1,766197.692131833
"20","DE","00+",2025-10-16,2025-11-02,3,"quantile",0.25,846467.759812543
"21","DE","00+",2025-10-16,2025-11-02,3,"quantile",0.5,946597.392522879
"22","DE","00+",2025-10-16,2025-11-02,3,"quantile",0.75,1058553.34820224
"23","DE","00+",2025-10-16,2025-11-02,3,"quantile",0.9,1164009.44644572
"24","DE","00+",2025-10-16,2025-11-02,3,"quantile",0.975,1299273.82794656
"25","DE","00+",2025-10-16,2025-11-09,4,"mean",NA,1166823.66717693
"26","DE","00+",2025-10-16,2025-11-09,4,"quantile",0.025,819655.18556664
"27","DE","00+",2025-10-16,2025-11-09,4,"quantile",0.1,917339.835563948
"28","DE","00+",2025-10-16,2025-11-09,4,"quantile",0.25,1020973.59223653
"29","DE","00+",2025-10-16,2025-11-09,4,"quantile",0.5,1151692.74981053
"30","DE","00+",2025-10-16,2025-11-09,4,"quantile",0.75,1291039.16241304
"31","DE","00+",2025-10-16,2025-11-09,4,"quantile",0.9,1434933.76147013
"32","DE","00+",2025-10-16,2025-11-09,4,"quantile",0.975,1612246.07498274
"33","DE","00-04",2025-10-16,2025-10-19,1,"mean",NA,154161.945413533
"34","DE","00-04",2025-10-16,2025-10-19,1,"quantile",0.025,132769.997784161
"35","DE","00-04",2025-10-16,2025-10-19,1,"quantile",0.1,139730.161305674
"36","DE","00-04",2025-10-16,2025-10-19,1,"quantile",0.25,146167.009280582
