"","location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"1","DE","00+",2024-10-17,2024-10-20,1,"mean",NA,1473400.0048
"2","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.025,1194533.425
"3","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.1,1284353.3
"4","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.25,1366784.75
"5","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.5,1469076.5
"6","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.75,1569704.5
"7","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.9,1669562.9
"8","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.975,1793028.425
"9","DE","00+",2024-10-17,2024-10-27,2,"mean",NA,1391083.7048
"10","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.025,1057317.275
"11","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.1,1162280.4
"12","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.25,1255626
"13","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.5,1376602.5
"14","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.75,1507340.5
"15","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.9,1640892.3
"16","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.975,1798650.5
"17","DE","00+",2024-10-17,2024-11-03,3,"mean",NA,1085335.06416
"18","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.025,781583.475
"19","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.1,873655.6
"20","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.25,962689.5
"21","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.5,1071962
"22","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.75,1192307.75
"23","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.9,1321279.3
"24","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.975,1457935.3
"25","DE","00+",2024-10-17,2024-11-10,4,"mean",NA,1293828.2016
"26","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.025,910840.75
"27","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.1,1019276.4
"28","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.25,1133466.75
"29","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.5,1276527
"30","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.75,1433316.75
"31","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.9,1594906.2
"32","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.975,1771990.175
"33","DE","00-04",2024-10-17,2024-10-20,1,"mean",NA,188147.13936
"34","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.025,161975.075
"35","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.1,170272.7
"36","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.25,178207
"37","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.5,187584
"38","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.75,197232
"39","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.9,206587.9
"40","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.975,217981.375
"41","DE","00-04",2024-10-17,2024-10-27,2,"mean",NA,191256.35008
"42","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.025,158331.125
"43","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.1,169211.3
"44","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.25,178935.25
"45","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.5,190403
"46","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.75,202724
"47","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.9,214766.5
"48","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.975,229799.95
"49","DE","00-04",2024-10-17,2024-11-03,3,"mean",NA,159749.252
"50","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.025,128634.85
"51","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.1,138582.6
"52","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.25,147948
"53","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.5,158940
"54","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.75,170682.5
