"","location","age_group","forecast_date","target_end_date","horizon","observed","lower_95","lower_80","lower_50","median","upper_50","upper_80","upper_95"
"1","DE","00+",2024-10-17,2024-10-20,1,1443282,1194533.425,1284353.3,1366784.75,1469076.5,1569704.5,1669562.9,1793028.425
"2","DE","00+",2024-10-17,2024-10-27,2,1407532,1057317.275,1162280.4,1255626,1376602.5,1507340.5,1640892.3,1798650.5
"3","DE","00+",2024-10-17,2024-11-03,3,1098257,781583.475,873655.6,962689.5,1071962,1192307.75,1321279.3,1457935.3
"4","DE","00+",2024-10-17,2024-11-10,4,1458246,910840.75,1019276.4,1133466.75,1276527,1433316.75,1594906.2,1771990.175
"5","DE","00-04",2024-10-17,2024-10-20,1,200728,161975.075,170272.7,178207,187584,197232,206587.9,217981.375
"6","DE","00-04",2024-10-17,2024-10-27,2,191870,158331.125,169211.3,178935.25,190403,202724,214766.5,229799.95
"7","DE","00-04",2024-10-17,2024-11-03,3,156082,128634.85,138582.6,147948,158940,170682.5,181814.7,196016.625
"8","DE","00-04",2024-10-17,2024-11-10,4,181588,142203.875,153550.9,164731,178673,193340.25,207711.1,222854.65
"9","DE","05-14",2024-10-17,2024-10-20,1,144455,113892.575,123221.4,131642.75,141676.5,153547.5,164755.4,178360.75
"10","DE","05-14",2024-10-17,2024-10-27,2,138826,103724.55,113698.3,124175.75,137309,152711.5,167512.6,184498.1
"11","DE","05-14",2024-10-17,2024-11-03,3,117440,78686.15,88647.5,98439,110842.5,125314.5,139203.1,157507.975
"12","DE","05-14",2024-10-17,2024-11-10,4,164040,95553.075,109645.1,123070.5,140070.5,158214.25,175973.5,201302.25
"13","DE","15-34",2024-10-17,2024-10-20,1,444126,341272.075,369330.3,397333.75,429665.5,465904,500089,543164.8
"14","DE","15-34",2024-10-17,2024-10-27,2,414051,289316,318472.9,350338.5,387631,429752.25,470125.5,516923.175
"15","DE","15-34",2024-10-17,2024-11-03,3,312855,213513.075,239914.2,265846.25,298634,334900.25,371400,417904.675
"16","DE","15-34",2024-10-17,2024-11-10,4,443559,248981.15,284188.7,316678.25,358309,404602.5,450304.2,508386.5
"17","DE","35-59",2024-10-17,2024-10-20,1,507285,414056.925,454558.2,487923.75,529015,574924,621089.4,677374.325
"18","DE","35-59",2024-10-17,2024-10-27,2,507285,352756.55,395892.1,435799.5,487225,546646.75,605131.7,681016.975
"19","DE","35-59",2024-10-17,2024-11-03,3,394014,250145.975,284735.5,320331,365493.5,418831.25,469741.7,543456.175
"20","DE","35-59",2024-10-17,2024-11-10,4,522197,288499.85,331067,381661.5,443148,510969,581287.9,668375.325
"21","DE","60+",2024-10-17,2024-10-20,1,171240,139520.325,152272.5,163924,177785,193039,207731.9,224476.275
"22","DE","60+",2024-10-17,2024-10-27,2,177983,121285.275,134674.4,148860.25,165906.5,184930.25,203378.1,226625.175
"23","DE","60+",2024-10-17,2024-11-03,3,135354,84827.975,96295.7,107781.5,122476,139561.75,156353.7,177212.575
"24","DE","60+",2024-10-17,2024-11-10,4,169794,97393.5,112162.6,126300.75,144189,165897,188640.3,215513.325
"25","DE","00+",2024-10-24,2024-10-27,1,1407532,1112454.375,1186241.7,1267500,1360376.5,1460291.75,1557516.6,1666096.75
"26","DE","00+",2024-10-24,2024-11-03,2,1098257,805578.725,888156.3,961793,1056477,1162919.75,1260442.5,1376479.25
"27","DE","00+",2024-10-24,2024-11-10,3,1458246,923470.025,1028224.2,1132821.25,1262422.5,1411555.5,1551370.8,1719612.85
"28","DE","00+",2024-10-24,2024-11-17,4,1372614,873007.225,985678.8,1092687.75,1227615,1384014.5,1530822.7,1717445.15
"29","DE","00-04",2024-10-24,2024-10-27,1,191870,173217.85,181627.8,190370.25,200057.5,210340.75,219997.7,230758.925
"30","DE","00-04",2024-10-24,2024-11-03,2,156082,138185.375,147299.8,155653.75,165789.5,176554.75,187224.1,199366.1
"31","DE","00-04",2024-10-24,2024-11-10,3,181588,150276.075,161135.9,171394,184528.5,197932.75,211876.4,229184.375
"32","DE","00-04",2024-10-24,2024-11-17,4,192937,149664.675,160994.8,172186,186577.5,201148.75,215845.1,234384.875
"33","DE","05-14",2024-10-24,2024-10-27,1,138826,110616.375,120142,128830.5,139603.5,151120.5,162294.8,174384.425
"34","DE","05-14",2024-10-24,2024-11-03,2,117440,84152.8,92963.5,101931,112861,124967,136268.8,151366.325
"35","DE","05-14",2024-10-24,2024-11-10,3,164040,101106.575,113134.6,125668,141439.5,158898.5,177164.1,199636.675
"36","DE","05-14",2024-10-24,2024-11-17,4,181000,106810.85,120155.3,134525.75,152431.5,173523,193769.4,221823.95
"37","DE","15-34",2024-10-24,2024-10-27,1,414051,313517.475,340447.3,366740,396251,429783.5,460797.6,497765.4
"38","DE","15-34",2024-10-24,2024-11-03,2,312855,227369.3,252296.2,276204,304225,337401.25,369453.9,407613.3
"39","DE","15-34",2024-10-24,2024-11-10,3,443559,260193.825,292686.7,324173,362527.5,407582.75,452105.1,509576.425
"40","DE","15-34",2024-10-24,2024-11-17,4,398352,245055.3,278406.1,309816.75,349130.5,393748,438595,496029.725
"41","DE","35-59",2024-10-24,2024-10-27,1,507285,364147.775,398397.3,431830,469673,512537.5,554035.7,600443.525
"42","DE","35-59",2024-10-24,2024-11-03,2,394014,253553.975,282987.1,314990.75,353481,395359.5,439292.2,496472.7
"43","DE","35-59",2024-10-24,2024-11-10,3,522197,288218.975,329166.9,374772.75,427391.5,489303.25,558352.7,637322.7
"44","DE","35-59",2024-10-24,2024-11-17,4,466565,261307.975,303450.4,350428.25,404275,470849.5,539777.2,622705.225
"45","DE","60+",2024-10-24,2024-10-27,1,177983,125593.075,136745,147679.75,160486.5,174326.75,188139.1,205625.025
"46","DE","60+",2024-10-24,2024-11-03,2,135354,86234.525,96438.7,106233.25,118447.5,132368.5,146107.3,163810.15
"47","DE","60+",2024-10-24,2024-11-10,3,169794,96474.125,110282.7,123277.75,140594.5,160059.25,178806.7,204651.5
"48","DE","60+",2024-10-24,2024-11-17,4,154380,85849.525,99213.1,112388.5,128971.5,148970.75,168631,195541.1
"49","DE","00+",2024-10-31,2024-11-03,1,1098257,888184.225,950658.2,1014100,1085821.5,1165067,1242808.7,1336790.025
"50","DE","00+",2024-10-31,2024-11-10,2,1458246,988468.2,1082442.9,1176655,1289029,1417448.75,1543331,1693664.225
"51","DE","00+",2024-10-31,2024-11-17,3,1372614,912830.475,1017319.4,1120584.5,1250367,1394053.5,1539537.5,1714156.475
"52","DE","00+",2024-10-31,2024-11-24,4,1410858,921170.575,1030919.5,1140700,1280372.5,1439151.5,1598195.5,1791573.125
"53","DE","00-04",2024-10-31,2024-11-03,1,156082,139490.225,146416.2,153262.25,161176.5,169634.5,177267.3,186895.875
"54","DE","00-04",2024-10-31,2024-11-10,2,181588,149118.775,158173.6,167683.75,178623.5,190394.75,201763.5,215271
"55","DE","00-04",2024-10-31,2024-11-17,3,192937,147345.8,158497.1,168732.25,181849,195340.5,209498.1,224870.15
