"","location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"1","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.025,1194533.425
"2","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.1,1284353.3
"3","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.25,1366784.75
"4","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.5,1469076.5
"5","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.75,1569704.5
"6","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.9,1669562.9
"7","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.975,1793028.425
"8","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.025,1057317.275
"9","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.1,1162280.4
"10","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.25,1255626
"11","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.5,1376602.5
"12","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.75,1507340.5
"13","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.9,1640892.3
"14","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.975,1798650.5
"15","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.025,781583.475
"16","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.1,873655.6
"17","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.25,962689.5
"18","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.5,1071962
"19","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.75,1192307.75
"20","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.9,1321279.3
"21","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.975,1457935.3
"22","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.025,910840.75
"23","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.1,1019276.4
"24","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.25,1133466.75
"25","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.5,1276527
"26","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.75,1433316.75
