"","location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"1","DE","00+",2025-12-18,2025-12-21,1,"quantile",0.025,447898.5804542744
"2","DE","00+",2025-12-18,2025-12-21,1,"quantile",0.1,771183.3222402132
"3","DE","00+",2025-12-18,2025-12-21,1,"quantile",0.25,1020331.0617538642
"4","DE","00+",2025-12-18,2025-12-21,1,"quantile",0.5,1330058.0733240184
"5","DE","00+",2025-12-18,2025-12-21,1,"quantile",0.75,1444449.8217555908
"6","DE","00+",2025-12-18,2025-12-21,1,"quantile",0.9,1566105.33954197
"7","DE","00+",2025-12-18,2025-12-21,1,"quantile",0.975,1619700.1858249663
"8","DE","00+",2025-12-18,2025-12-28,2,"quantile",0.025,453001.5618115604
"9","DE","00+",2025-12-18,2025-12-28,2,"quantile",0.1,628825.5627094541
"10","DE","00+",2025-12-18,2025-12-28,2,"quantile",0.25,873910.3875993795
"11","DE","00+",2025-12-18,2025-12-28,2,"quantile",0.5,1245841.9523470593
"12","DE","00+",2025-12-18,2025-12-28,2,"quantile",0.75,1532556.6261633837
"13","DE","00+",2025-12-18,2025-12-28,2,"quantile",0.9,1642279.1306122283
"14","DE","00+",2025-12-18,2025-12-28,2,"quantile",0.975,1687753.8080806
"15","DE","00+",2025-12-18,2026-01-04,3,"quantile",0.025,432826.5304933234
"16","DE","00+",2025-12-18,2026-01-04,3,"quantile",0.1,606651.3515862823
"17","DE","00+",2025-12-18,2026-01-04,3,"quantile",0.25,870319.0476810079
"18","DE","00+",2025-12-18,2026-01-04,3,"quantile",0.5,1231361.928634226
"19","DE","00+",2025-12-18,2026-01-04,3,"quantile",0.75,1582785.8554588973
"20","DE","00+",2025-12-18,2026-01-04,3,"quantile",0.9,1701244.570977126
"21","DE","00+",2025-12-18,2026-01-04,3,"quantile",0.975,1749090.2750872069
"22","DE","00+",2025-12-18,2026-01-11,4,"quantile",0.025,506624.9343880685
"23","DE","00+",2025-12-18,2026-01-11,4,"quantile",0.1,694406.0323091438
"24","DE","00+",2025-12-18,2026-01-11,4,"quantile",0.25,876027.3154978591
"25","DE","00+",2025-12-18,2026-01-11,4,"quantile",0.5,1178094.0733275695
"26","DE","00+",2025-12-18,2026-01-11,4,"quantile",0.75,1538456.305627625
"27","DE","00+",2025-12-18,2026-01-11,4,"quantile",0.9,1674711.5502799184
"28","DE","00+",2025-12-18,2026-01-11,4,"quantile",0.975,1701970.3100081682
"29","DE","00-04",2025-12-18,2025-12-21,1,"quantile",0.025,84290.92711739586
"30","DE","00-04",2025-12-18,2025-12-21,1,"quantile",0.1,105861.30506395256
"31","DE","00-04",2025-12-18,2025-12-21,1,"quantile",0.25,140828.97056528705
"32","DE","00-04",2025-12-18,2025-12-21,1,"quantile",0.5,175349.33991552202
"33","DE","00-04",2025-12-18,2025-12-21,1,"quantile",0.75,190801.8986569312
"34","DE","00-04",2025-12-18,2025-12-21,1,"quantile",0.9,206060.0338885333
"35","DE","00-04",2025-12-18,2025-12-21,1,"quantile",0.975,216631.23595966652
"36","DE","00-04",2025-12-18,2025-12-28,2,"quantile",0.025,73233.66921406539
"37","DE","00-04",2025-12-18,2025-12-28,2,"quantile",0.1,91044.76328250664
"38","DE","00-04",2025-12-18,2025-12-28,2,"quantile",0.25,107867.61623140633
"39","DE","00-04",2025-12-18,2025-12-28,2,"quantile",0.5,141317.29490912304
