"","location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"1","DE","00+",2025-12-18,2025-12-21,1,"quantile",0.025,665149.4034847581
"2","DE","00+",2025-12-18,2025-12-21,1,"quantile",0.1,882322.0674134044
"3","DE","00+",2025-12-18,2025-12-21,1,"quantile",0.25,1075925.0205846217
"4","DE","00+",2025-12-18,2025-12-21,1,"quantile",0.5,1317318.707774673
"5","DE","00+",2025-12-18,2025-12-21,1,"quantile",0.75,1510856.565585197
"6","DE","00+",2025-12-18,2025-12-21,1,"quantile",0.9,1707148.1198473233
"7","DE","00+",2025-12-18,2025-12-21,1,"quantile",0.975,1917304.781108322
"8","DE","00+",2025-12-18,2025-12-28,2,"quantile",0.025,507178.2989371868
"9","DE","00+",2025-12-18,2025-12-28,2,"quantile",0.1,660784.2609031514
"10","DE","00+",2025-12-18,2025-12-28,2,"quantile",0.25,841822.0208664598
"11","DE","00+",2025-12-18,2025-12-28,2,"quantile",0.5,1092728.1674490198
"12","DE","00+",2025-12-18,2025-12-28,2,"quantile",0.75,1334444.4253877946
"13","DE","00+",2025-12-18,2025-12-28,2,"quantile",0.9,1519613.240204076
"14","DE","00+",2025-12-18,2025-12-28,2,"quantile",0.975,1721955.0068602
"15","DE","00+",2025-12-18,2026-01-04,3,"quantile",0.025,518068.1993311078
"16","DE","00+",2025-12-18,2026-01-04,3,"quantile",0.1,685959.0638620941
"17","DE","00+",2025-12-18,2026-01-04,3,"quantile",0.25,890752.0158936693
"18","DE","00+",2025-12-18,2026-01-04,3,"quantile",0.5,1163149.4762114086
"19","DE","00+",2025-12-18,2026-01-04,3,"quantile",0.75,1457052.793486299
"20","DE","00+",2025-12-18,2026-01-04,3,"quantile",0.9,1678688.9403257086
"21","DE","00+",2025-12-18,2026-01-04,3,"quantile",0.975,1925186.2808624024
"22","DE","00+",2025-12-18,2026-01-11,4,"quantile",0.025,540292.0139626896
"23","DE","00+",2025-12-18,2026-01-11,4,"quantile",0.1,727914.464103048
"24","DE","00+",2025-12-18,2026-01-11,4,"quantile",0.25,924782.5634992864
"25","DE","00+",2025-12-18,2026-01-11,4,"quantile",0.5,1205884.874442523
"26","DE","00+",2025-12-18,2026-01-11,4,"quantile",0.75,1538512.9185425416
"27","DE","00+",2025-12-18,2026-01-11,4,"quantile",0.9,1804949.570093306
"28","DE","00+",2025-12-18,2026-01-11,4,"quantile",0.975,2096731.9000027224
"29","DE","00-04",2025-12-18,2025-12-21,1,"quantile",0.025,92822.93570579862
"30","DE","00-04",2025-12-18,2025-12-21,1,"quantile",0.1,116543.20168798418
"31","DE","00-04",2025-12-18,2025-12-21,1,"quantile",0.25,145419.71518842902
"32","DE","00-04",2025-12-18,2025-12-21,1,"quantile",0.5,179037.42997184067
"33","DE","00-04",2025-12-18,2025-12-21,1,"quantile",0.75,209741.63288564372
"34","DE","00-04",2025-12-18,2025-12-21,1,"quantile",0.9,240791.75129617777
"35","DE","00-04",2025-12-18,2025-12-21,1,"quantile",0.975,277124.6019865555
"36","DE","00-04",2025-12-18,2025-12-28,2,"quantile",0.025,68670.16640468847
"37","DE","00-04",2025-12-18,2025-12-28,2,"quantile",0.1,89649.54109416888
"38","DE","00-04",2025-12-18,2025-12-28,2,"quantile",0.25,111778.30541046878
"39","DE","00-04",2025-12-18,2025-12-28,2,"quantile",0.5,144982.33163637435
"40","DE","00-04",2025-12-18,2025-12-28,2,"quantile",0.75,186174.3380424797
"41","DE","00-04",2025-12-18,2025-12-28,2,"quantile",0.9,222065.46584911583
"42","DE","00-04",2025-12-18,2025-12-28,2,"quantile",0.975,260575.18945839
"43","DE","00-04",2025-12-18,2026-01-04,3,"quantile",0.025,60776.08971412988
"44","DE","00-04",2025-12-18,2026-01-04,3,"quantile",0.1,89037.53537206467
"45","DE","00-04",2025-12-18,2026-01-04,3,"quantile",0.25,113181.48561196135
"46","DE","00-04",2025-12-18,2026-01-04,3,"quantile",0.5,148214.02283277386
"47","DE","00-04",2025-12-18,2026-01-04,3,"quantile",0.75,188850.54689513345
"48","DE","00-04",2025-12-18,2026-01-04,3,"quantile",0.9,234658.2959649419
"49","DE","00-04",2025-12-18,2026-01-04,3,"quantile",0.975,280702.1710775424
"50","DE","00-04",2025-12-18,2026-01-11,4,"quantile",0.025,63640.04049481968
"51","DE","00-04",2025-12-18,2026-01-11,4,"quantile",0.1,91467.96309292244
"52","DE","00-04",2025-12-18,2026-01-11,4,"quantile",0.25,119730.2848836195
"53","DE","00-04",2025-12-18,2026-01-11,4,"quantile",0.5,160746.60609176377
"54","DE","00-04",2025-12-18,2026-01-11,4,"quantile",0.75,204472.38420547493
"55","DE","00-04",2025-12-18,2026-01-11,4,"quantile",0.9,256430.45688805424
"56","DE","00-04",2025-12-18,2026-01-11,4,"quantile",0.975,314314.7858356201
"57","DE","05-14",2025-12-18,2025-12-21,1,"quantile",0.025,64814.64036120694
"58","DE","05-14",2025-12-18,2025-12-21,1,"quantile",0.1,90678.77408514892
"59","DE","05-14",2025-12-18,2025-12-21,1,"quantile",0.25,115394.83859216314
"60","DE","05-14",2025-12-18,2025-12-21,1,"quantile",0.5,155666.4864314975
"61","DE","05-14",2025-12-18,2025-12-21,1,"quantile",0.75,187497.05356440129
"62","DE","05-14",2025-12-18,2025-12-21,1,"quantile",0.9,218566.9461513849
"63","DE","05-14",2025-12-18,2025-12-21,1,"quantile",0.975,255443.21205605488
"64","DE","05-14",2025-12-18,2025-12-28,2,"quantile",0.025,45512.92073820051
