"","location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"1","DE","00+",2025-12-18,2025-12-21,1,"quantile",0.025,806959.63
"2","DE","00+",2025-12-18,2025-12-21,1,"quantile",0.1,960832.88
"3","DE","00+",2025-12-18,2025-12-21,1,"quantile",0.25,1113934.0
"4","DE","00+",2025-12-18,2025-12-21,1,"quantile",0.5,1303448.05
"5","DE","00+",2025-12-18,2025-12-21,1,"quantile",0.75,1515129.875
"6","DE","00+",2025-12-18,2025-12-21,1,"quantile",0.9,1726499.02
"7","DE","00+",2025-12-18,2025-12-21,1,"quantile",0.975,1985664.1575
"8","DE","00+",2025-12-18,2025-12-28,2,"quantile",0.025,415103.335
"9","DE","00+",2025-12-18,2025-12-28,2,"quantile",0.1,508157.22
"10","DE","00+",2025-12-18,2025-12-28,2,"quantile",0.25,603835.675
"11","DE","00+",2025-12-18,2025-12-28,2,"quantile",0.5,723352.55
"12","DE","00+",2025-12-18,2025-12-28,2,"quantile",0.75,859636.65
"13","DE","00+",2025-12-18,2025-12-28,2,"quantile",0.9,996400.59
"14","DE","00+",2025-12-18,2025-12-28,2,"quantile",0.975,1168651.2125
"15","DE","00+",2025-12-18,2026-01-04,3,"quantile",0.025,538208.0675
"16","DE","00+",2025-12-18,2026-01-04,3,"quantile",0.1,664125.84
"17","DE","00+",2025-12-18,2026-01-04,3,"quantile",0.25,794017.0
"18","DE","00+",2025-12-18,2026-01-04,3,"quantile",0.5,958656.5
"19","DE","00+",2025-12-18,2026-01-04,3,"quantile",0.75,1145252.525
"20","DE","00+",2025-12-18,2026-01-04,3,"quantile",0.9,1334882.2499999998
"21","DE","00+",2025-12-18,2026-01-04,3,"quantile",0.975,1571368.5675000004
"22","DE","00+",2025-12-18,2026-01-11,4,"quantile",0.025,590751.1075
"23","DE","00+",2025-12-18,2026-01-11,4,"quantile",0.1,753867.36
"24","DE","00+",2025-12-18,2026-01-11,4,"quantile",0.25,927400.375
"25","DE","00+",2025-12-18,2026-01-11,4,"quantile",0.5,1151310.55
"26","DE","00+",2025-12-18,2026-01-11,4,"quantile",0.75,1408062.45
"27","DE","00+",2025-12-18,2026-01-11,4,"quantile",0.9,1670417.16
"28","DE","00+",2025-12-18,2026-01-11,4,"quantile",0.975,2001725.39
"29","DE","00-04",2025-12-18,2025-12-21,1,"quantile",0.025,112497.88
"30","DE","00-04",2025-12-18,2025-12-21,1,"quantile",0.1,134058.3
"31","DE","00-04",2025-12-18,2025-12-21,1,"quantile",0.25,155440.175
"32","DE","00-04",2025-12-18,2025-12-21,1,"quantile",0.5,181912.95
"33","DE","00-04",2025-12-18,2025-12-21,1,"quantile",0.75,211663.0
"34","DE","00-04",2025-12-18,2025-12-21,1,"quantile",0.9,240915.22000000003
"35","DE","00-04",2025-12-18,2025-12-21,1,"quantile",0.975,277372.57
"36","DE","00-04",2025-12-18,2025-12-28,2,"quantile",0.025,65496.83
"37","DE","00-04",2025-12-18,2025-12-28,2,"quantile",0.1,80063.86
"38","DE","00-04",2025-12-18,2025-12-28,2,"quantile",0.25,94917.3
"39","DE","00-04",2025-12-18,2025-12-28,2,"quantile",0.5,113479.7
"40","DE","00-04",2025-12-18,2025-12-28,2,"quantile",0.75,134463.825
"41","DE","00-04",2025-12-18,2025-12-28,2,"quantile",0.9,155542.40999999997
"42","DE","00-04",2025-12-18,2025-12-28,2,"quantile",0.975,181706.91250000003
"43","DE","00-04",2025-12-18,2026-01-04,3,"quantile",0.025,68287.19249999999
"44","DE","00-04",2025-12-18,2026-01-04,3,"quantile",0.1,84758.6
"45","DE","00-04",2025-12-18,2026-01-04,3,"quantile",0.25,101677.975
"46","DE","00-04",2025-12-18,2026-01-04,3,"quantile",0.5,123037.6
"47","DE","00-04",2025-12-18,2026-01-04,3,"quantile",0.75,147370.875
"48","DE","00-04",2025-12-18,2026-01-04,3,"quantile",0.9,171983.93
"49","DE","00-04",2025-12-18,2026-01-04,3,"quantile",0.975,202714.64000000004
"50","DE","00-04",2025-12-18,2026-01-11,4,"quantile",0.025,76742.9075
"51","DE","00-04",2025-12-18,2026-01-11,4,"quantile",0.1,97724.79
"52","DE","00-04",2025-12-18,2026-01-11,4,"quantile",0.25,119669.15
"53","DE","00-04",2025-12-18,2026-01-11,4,"quantile",0.5,148025.25
"54","DE","00-04",2025-12-18,2026-01-11,4,"quantile",0.75,180527.9
"55","DE","00-04",2025-12-18,2026-01-11,4,"quantile",0.9,213810.17
"56","DE","00-04",2025-12-18,2026-01-11,4,"quantile",0.975,254894.1875000001
"57","DE","05-14",2025-12-18,2025-12-21,1,"quantile",0.025,78166.715
"58","DE","05-14",2025-12-18,2025-12-21,1,"quantile",0.1,98418.01
"59","DE","05-14",2025-12-18,2025-12-21,1,"quantile",0.25,119495.275
"60","DE","05-14",2025-12-18,2025-12-21,1,"quantile",0.5,146596.55
"61","DE","05-14",2025-12-18,2025-12-21,1,"quantile",0.75,177663.875
"62","DE","05-14",2025-12-18,2025-12-21,1,"quantile",0.9,209271.26
"63","DE","05-14",2025-12-18,2025-12-21,1,"quantile",0.975,248997.63750000004
"64","DE","05-14",2025-12-18,2025-12-28,2,"quantile",0.025,40797.3225
"65","DE","05-14",2025-12-18,2025-12-28,2,"quantile",0.1,53603.530000000006
"66","DE","05-14",2025-12-18,2025-12-28,2,"quantile",0.25,67278.25
"67","DE","05-14",2025-12-18,2025-12-28,2,"quantile",0.5,85055.05
"68","DE","05-14",2025-12-18,2025-12-28,2,"quantile",0.75,105818.25
