"","location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"1","DE","00+",2025-11-27,2025-11-30,1,"quantile",0.025,619610.0
"2","DE","00+",2025-11-27,2025-11-30,1,"quantile",0.1,766820.0
"3","DE","00+",2025-11-27,2025-11-30,1,"quantile",0.25,917670.0
"4","DE","00+",2025-11-27,2025-11-30,1,"quantile",0.5,1107760.0
"5","DE","00+",2025-11-27,2025-11-30,1,"quantile",0.75,1322790.0
"6","DE","00+",2025-11-27,2025-11-30,1,"quantile",0.9,1538730.0
"7","DE","00+",2025-11-27,2025-11-30,1,"quantile",0.975,1806390.0
"8","DE","00+",2025-11-27,2025-12-07,2,"quantile",0.025,550260.0
"9","DE","00+",2025-11-27,2025-12-07,2,"quantile",0.1,713290.0
"10","DE","00+",2025-11-27,2025-12-07,2,"quantile",0.25,885310.0
"11","DE","00+",2025-11-27,2025-12-07,2,"quantile",0.5,1107520.0
"12","DE","00+",2025-11-27,2025-12-07,2,"quantile",0.75,1364500.0
"13","DE","00+",2025-11-27,2025-12-07,2,"quantile",0.9,1627190.0
"14","DE","00+",2025-11-27,2025-12-07,2,"quantile",0.975,1957710.0
"15","DE","00+",2025-11-27,2025-12-14,3,"quantile",0.025,494720.0
"16","DE","00+",2025-11-27,2025-12-14,3,"quantile",0.1,668600.0
"17","DE","00+",2025-11-27,2025-12-14,3,"quantile",0.25,856990.0
"18","DE","00+",2025-11-27,2025-12-14,3,"quantile",0.5,1105750.0
"19","DE","00+",2025-11-27,2025-12-14,3,"quantile",0.75,1398970.0
"20","DE","00+",2025-11-27,2025-12-14,3,"quantile",0.9,1703240.0
"21","DE","00+",2025-11-27,2025-12-14,3,"quantile",0.975,2090900.0
"22","DE","00+",2025-11-27,2025-12-21,4,"quantile",0.025,448710.0
"23","DE","00+",2025-11-27,2025-12-21,4,"quantile",0.1,630110.0
"24","DE","00+",2025-11-27,2025-12-21,4,"quantile",0.25,831500.0
"25","DE","00+",2025-11-27,2025-12-21,4,"quantile",0.5,1102740.0
"26","DE","00+",2025-11-27,2025-12-21,4,"quantile",0.75,1427930.0
"27","DE","00+",2025-11-27,2025-12-21,4,"quantile",0.9,1769790.0
"28","DE","00+",2025-11-27,2025-12-21,4,"quantile",0.975,2210030.0
"29","DE","00-04",2025-11-27,2025-11-30,1,"quantile",0.025,63900.0
"30","DE","00-04",2025-11-27,2025-11-30,1,"quantile",0.1,85860.0
"31","DE","00-04",2025-11-27,2025-11-30,1,"quantile",0.25,109570.0
"32","DE","00-04",2025-11-27,2025-11-30,1,"quantile",0.5,140770.0
"33","DE","00-04",2025-11-27,2025-11-30,1,"quantile",0.75,177470.0
"34","DE","00-04",2025-11-27,2025-11-30,1,"quantile",0.9,215470.0
"35","DE","00-04",2025-11-27,2025-11-30,1,"quantile",0.975,263820.0
"36","DE","00-04",2025-11-27,2025-12-07,2,"quantile",0.025,52910.0
"37","DE","00-04",2025-11-27,2025-12-07,2,"quantile",0.1,77040.0
"38","DE","00-04",2025-11-27,2025-12-07,2,"quantile",0.25,104450.0
"39","DE","00-04",2025-11-27,2025-12-07,2,"quantile",0.5,142070.0
"40","DE","00-04",2025-11-27,2025-12-07,2,"quantile",0.75,187880.0
"41","DE","00-04",2025-11-27,2025-12-07,2,"quantile",0.9,236610.0
"42","DE","00-04",2025-11-27,2025-12-07,2,"quantile",0.975,299970.0
"43","DE","00-04",2025-11-27,2025-12-14,3,"quantile",0.025,43940.0
"44","DE","00-04",2025-11-27,2025-12-14,3,"quantile",0.1,69280.0
"45","DE","00-04",2025-11-27,2025-12-14,3,"quantile",0.25,99560.0
"46","DE","00-04",2025-11-27,2025-12-14,3,"quantile",0.5,142800.0
"47","DE","00-04",2025-11-27,2025-12-14,3,"quantile",0.75,197190.0
"48","DE","00-04",2025-11-27,2025-12-14,3,"quantile",0.9,256450.0
"49","DE","00-04",2025-11-27,2025-12-14,3,"quantile",0.975,334980.0
"50","DE","00-04",2025-11-27,2025-12-21,4,"quantile",0.025,36370.0
"51","DE","00-04",2025-11-27,2025-12-21,4,"quantile",0.1,62160.0
"52","DE","00-04",2025-11-27,2025-12-21,4,"quantile",0.25,94650.0
"53","DE","00-04",2025-11-27,2025-12-21,4,"quantile",0.5,142910.0
"54","DE","00-04",2025-11-27,2025-12-21,4,"quantile",0.75,205510.0
"55","DE","00-04",2025-11-27,2025-12-21,4,"quantile",0.9,275240.0
"56","DE","00-04",2025-11-27,2025-12-21,4,"quantile",0.975,369230.0
"57","DE","05-14",2025-11-27,2025-11-30,1,"quantile",0.025,48030.0
"58","DE","05-14",2025-11-27,2025-11-30,1,"quantile",0.1,66400.0
"59","DE","05-14",2025-11-27,2025-11-30,1,"quantile",0.25,86600.0
"60","DE","05-14",2025-11-27,2025-11-30,1,"quantile",0.5,113590.0
"61","DE","05-14",2025-11-27,2025-11-30,1,"quantile",0.75,145730.0
"62","DE","05-14",2025-11-27,2025-11-30,1,"quantile",0.9,179350.0
"63","DE","05-14",2025-11-27,2025-11-30,1,"quantile",0.975,222470.0
"64","DE","05-14",2025-11-27,2025-12-07,2,"quantile",0.025,38910.0
"65","DE","05-14",2025-11-27,2025-12-07,2,"quantile",0.1,58980.0
"66","DE","05-14",2025-11-27,2025-12-07,2,"quantile",0.25,82370.0
"67","DE","05-14",2025-11-27,2025-12-07,2,"quantile",0.5,115130.0
"68","DE","05-14",2025-11-27,2025-12-07,2,"quantile",0.75,155700.0
"69","DE","05-14",2025-11-27,2025-12-07,2,"quantile",0.9,199390.0
