"","location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"1","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.025,431090.556002803
"2","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.1,1282672.4820538
"3","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.25,1395608.42922773
"4","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.5,1462439.09380249
"5","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.75,1523669.06205064
"6","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.9,1609055.42688938
"7","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.975,1692831.46734672
"8","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.025,398281.626247878
"9","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.1,1174653.46581799
"10","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.25,1307195.18997866
"11","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.5,1362748.0105253
"12","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.75,1436111.77460117
"13","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.9,1524658.23014094
"14","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.975,1754890.36526917
"15","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.025,382592.122247423
"16","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.1,1082890.54738442
"17","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.25,1246190.49598833
"18","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.5,1347923.10480412
"19","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.75,1427470.78080881
"20","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.9,1471514.14672794
"21","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.975,1686492.02755551
"22","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.025,356151.964936966
"23","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.1,1098810.3358772
"24","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.25,1311856.71476862
"25","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.5,1420060.74740746
"26","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.75,1459644.91847882
"27","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.9,1515253.70182919
"28","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.975,1708012.26547252
"29","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.025,85574.0535654213
"30","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.1,140646.468278234
"31","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.25,148729.015174839
"32","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.5,157511.084795814
"33","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.75,171661.000623233
"34","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.9,182527.111505792
"35","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.975,200374.533378883
"36","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.025,74648.4437438119
"37","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.1,141593.443307738
"38","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.25,152966.549046655
"39","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.5,159529.107905949
"40","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.75,167393.797811271
"41","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.9,189528.322943942
"42","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.975,222072.56972978
"43","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.025,62840.0907267027
"44","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.1,137063.867161242
"45","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.25,144996.05812216
"46","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.5,148798.935740251
"47","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.75,155878.439211697
"48","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.9,187732.506317274
"49","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.975,251793.58562567
"50","DE","00-04",2024-10-17,2024-11-10,4,"quantile",0.025,56655.8323678477
"51","DE","00-04",2024-10-17,2024-11-10,4,"quantile",0.1,151249.487935877
"52","DE","00-04",2024-10-17,2024-11-10,4,"quantile",0.25,166366.307538247
"53","DE","00-04",2024-10-17,2024-11-10,4,"quantile",0.5,171589.644494569
"54","DE","00-04",2024-10-17,2024-11-10,4,"quantile",0.75,177170.62402899
"55","DE","00-04",2024-10-17,2024-11-10,4,"quantile",0.9,185546.254928133
"56","DE","00-04",2024-10-17,2024-11-10,4,"quantile",0.975,273280.149001852
"57","DE","05-14",2024-10-17,2024-10-20,1,"quantile",0.025,50563.8933758165
"58","DE","05-14",2024-10-17,2024-10-20,1,"quantile",0.1,111371.042141175
"59","DE","05-14",2024-10-17,2024-10-20,1,"quantile",0.25,123385.642064212
"60","DE","05-14",2024-10-17,2024-10-20,1,"quantile",0.5,136521.720804428
"61","DE","05-14",2024-10-17,2024-10-20,1,"quantile",0.75,158345.317782541
"62","DE","05-14",2024-10-17,2024-10-20,1,"quantile",0.9,168869.656150325
"63","DE","05-14",2024-10-17,2024-10-20,1,"quantile",0.975,187366.252270527
"64","DE","05-14",2024-10-17,2024-10-27,2,"quantile",0.025,43886.0002079363
"65","DE","05-14",2024-10-17,2024-10-27,2,"quantile",0.1,109338.988104688
"66","DE","05-14",2024-10-17,2024-10-27,2,"quantile",0.25,120340.288132157
"67","DE","05-14",2024-10-17,2024-10-27,2,"quantile",0.5,125878.623986754
"68","DE","05-14",2024-10-17,2024-10-27,2,"quantile",0.75,131940.375440705
"69","DE","05-14",2024-10-17,2024-10-27,2,"quantile",0.9,161643.236715195
