"","location","age_group","forecast_date","target_end_date","horizon","observed","lower_95","lower_80","lower_50","median","upper_50","upper_80","upper_95"
"1","DE","00+",2024-10-17,2024-10-20,1,1443282,1108420.24107796,1274637.79994667,1444398.40667314,1659657.50086447,1906996.71742232,2160977.04013717,2485034.93358884
"2","DE","00+",2024-10-17,2024-10-27,2,1407532,1094446.07030983,1298076.61210772,1512210.83423657,1791801.1619186,2123084.51385594,2473314.26659,2933494.3867485
"3","DE","00+",2024-10-17,2024-11-03,3,1098257,1172109.35712672,1418587.62880231,1682777.23438647,2034395.53378259,2459484.89396075,2917525.22286469,3531040.13948002
"4","DE","00+",2024-10-17,2024-11-10,4,1458246,984694.853101635,1224305.91679564,1487750.49940621,1847444.76805151,2294102.5207944,2787744.56953851,3466101.36150334
"5","DE","00-04",2024-10-17,2024-10-20,1,200728,125744.386879239,143217.089068905,160900.781040558,183120.793067786,208409.33547316,234142.62272599,266677.7077372
"6","DE","00-04",2024-10-17,2024-10-27,2,191870,136231.514215238,157746.234004499,179863.423871767,208092.322859854,240751.643113843,274506.805861207,317859.014359879
"7","DE","00-04",2024-10-17,2024-11-03,3,156082,139948.669006276,164482.670572014,190061.214891679,223171.76741599,262050.507253478,302801.733449306,355885.040745499
"8","DE","00-04",2024-10-17,2024-11-10,4,181588,143107.467052957,170615.443554333,199684.243465572,237825.457713956,283251.934930984,331511.304947262,395234.081782207
"9","DE","05-14",2024-10-17,2024-10-20,1,144455,84312.5085663279,102954.541614744,123104.772601522,150150.49505674,183138.075716696,218981.803154911,267400.075613312
"10","DE","05-14",2024-10-17,2024-10-27,2,138826,90870.4534164885,113893.644907679,139399.51638024,174490.172103304,218414.101793517,267326.76950782,335057.425333767
"11","DE","05-14",2024-10-17,2024-11-03,3,117440,94642.5366838628,119251.058346781,146649.737657656,184534.160766605,232205.369295165,285556.010671283,359804.98497819
"12","DE","05-14",2024-10-17,2024-11-10,4,164040,97853.7195966876,124013.494511711,153298.936942998,194015.227517815,245545.789549645,303530.746045022,384675.295573168
"13","DE","15-34",2024-10-17,2024-10-20,1,444126,251107.35309467,297175.417962368,345519.5085012,408510.329499949,482984.853827947,561556.169256532,664579.062506548
"14","DE","15-34",2024-10-17,2024-10-27,2,414051,260847.040507127,314880.987414026,372655.874493766,449361.382183928,541855.544535708,641276.100715301,774115.172653197
"15","DE","15-34",2024-10-17,2024-11-03,3,312855,260376.000684535,317954.19076005,380192.000828411,463729.685712742,565622.687859477,676340.264291487,825902.621001472
"16","DE","15-34",2024-10-17,2024-11-10,4,443559,263062.965031613,327073.993867111,397451.738773309,493541.633613232,612862.695887081,744734.673734362,925950.728489455
"17","DE","35-59",2024-10-17,2024-10-20,1,507285,341027.120456181,400631.387416461,462746.926485784,543119.131213852,637450.783154043,736283.775948527,864970.475943104
"18","DE","35-59",2024-10-17,2024-10-27,2,507285,353551.164264498,425144.503331518,501415.976003809,602309.074198254,723503.514492728,853300.978887813,1026092.56461155
"19","DE","35-59",2024-10-17,2024-11-03,3,394014,351064.852613574,431003.097964896,517849.138760628,635010.857474909,778680.041983063,935582.113017344,1148616.23460459
"20","DE","35-59",2024-10-17,2024-11-10,4,522197,348535.109585619,440295.550883118,542709.278172228,684665.015094746,863751.923448647,1064662.54758756,1344961.15313035
"21","DE","60+",2024-10-17,2024-10-20,1,171240,112122.197032399,129409.180281427,147125.885565484,169669.001337841,195666.248018383,222453.847187469,256751.747440891
"22","DE","60+",2024-10-17,2024-10-27,2,177983,118355.96284542,137377.087892366,156975.270830024,182046.008302653,211120.827909355,241239.275394273,280009.121147648
"23","DE","60+",2024-10-17,2024-11-03,3,135354,112126.42996606,133025.87632451,155009.199720858,183719.989211987,217748.588450463,253732.847838671,301026.568368131
"24","DE","60+",2024-10-17,2024-11-10,4,169794,110335.503721077,134282.207444112,160084.792599164,194607.706054694,236575.621212804,282034.083120302,343245.446647974
"25","DE","00+",2024-10-24,2024-10-27,1,1407532,1056087.46864204,1214457.25880284,1376202.81593787,1581298.70237316,1816960.08551106,2058949.02270329,2367706.89963995
"26","DE","00+",2024-10-24,2024-11-03,2,1098257,973038.973466485,1154080.74311837,1344461.0179777,1593036.34098275,1887570.37188699,2198949.07598457,2608081.33373204
"27","DE","00+",2024-10-24,2024-11-10,3,1458246,975893.329388949,1181110.10349369,1401073.25984583,1693829.17957754,2047756.79603221,2429119.2506962,2939929.19429499
"28","DE","00+",2024-10-24,2024-11-17,4,1372614,841236.567643777,1045939.15967673,1271003.01142898,1578294.1189261,1959879.16900061,2381603.46401658,2961131.76916904
"29","DE","00-04",2024-10-24,2024-10-27,1,191870,158587.801994883,180624.232438744,202926.761486282,230950.460636226,262844.165438924,295298.778840065,336331.76446828
"30","DE","00-04",2024-10-24,2024-11-03,2,156082,158955.89576985,184059.423217515,209865.917019741,242803.596315872,280910.722527545,320296.485522786,370880.149480453
"31","DE","00-04",2024-10-24,2024-11-10,3,181588,157638.642126887,185273.822369925,214085.579014454,251381.414530898,295174.555252452,341076.870780925,400870.083115091
"32","DE","00-04",2024-10-24,2024-11-17,4,192937,154733.560425226,184476.293154723,215906.651054147,257146.468941567,306263.406737447,358443.382389827,427343.016650033
"33","DE","05-14",2024-10-24,2024-10-27,1,138826,105479.066261838,128801.160131485,154010.083286387,187845.603062305,229114.677668381,273956.931395804,334530.555117433
"34","DE","05-14",2024-10-24,2024-11-03,2,117440,102392.754897194,128335.268824178,157075.26458671,196615.387647013,246108.836813356,301223.592031798,377542.441341666
"35","DE","05-14",2024-10-24,2024-11-10,3,164040,108087.908591899,136192.4346674,167483.501545552,210749.96719128,265193.575852278,326123.464784178,410920.603883849
"36","DE","05-14",2024-10-24,2024-11-17,4,181000,110276.753181424,139757.646227448,172761.026376048,218646.459701305,276719.091931388,342065.537238029,433511.805169536
"37","DE","15-34",2024-10-24,2024-10-27,1,414051,287434.134066793,340166.697132709,395504.550166574,467608.022505377,552856.50346955,642794.443296385,760721.281142546
"38","DE","15-34",2024-10-24,2024-11-03,2,312855,285171.273576954,344243.937103719,407406.387010234,491264.755791584,592384.086204574,701075.70321638,846302.144166839
"39","DE","15-34",2024-10-24,2024-11-10,3,443559,286328.33413721,349645.487805809,418086.69755775,509950.794431983,621999.729388401,743752.806231668,908222.42068853
"40","DE","15-34",2024-10-24,2024-11-17,4,398352,260242.982167252,323567.825456166,393191.134880941,488250.965086513,606292.929213921,736751.265586529,916024.720139063
"41","DE","35-59",2024-10-24,2024-10-27,1,507285,394822.093842649,463828.574769253,535742.465848382,628792.901588033,738004.8032246,852428.105112308,1001414.35662684
"42","DE","35-59",2024-10-24,2024-11-03,2,394014,397557.468502807,478061.988125473,563826.925875452,677278.128309001,813557.568882531,959510.846876515,1153809.69904356
"43","DE","35-59",2024-10-24,2024-11-10,3,522197,400307.464310845,491458.361530593,590485.985963969,724081.560068446,887902.707420303,1066812.87097914,1309728.52713042
"44","DE","35-59",2024-10-24,2024-11-17,4,466565,368263.345055426,465217.729639966,573428.411301054,723419.310614031,912643.127992007,1124925.95536781,1421090.38544283
