"","location","age_group","forecast_date","target_end_date","horizon","observed","lower_95","lower_80","lower_50","median","upper_50","upper_80","upper_95"
"1","DE","00+",2024-10-17,2024-10-20,1,1443282,1075627,1252194,1426125,1659657.50086447,1869294,2095354,2368314
"2","DE","00+",2024-10-17,2024-10-27,2,1407532,1032979,1253883,1477330,1791801.1619186,2066870,2376336,2756171
"3","DE","00+",2024-10-17,2024-11-03,3,1098257,1070104,1342522,1623908,2034395.53378259,2386505,2795416,3303282
"4","DE","00+",2024-10-17,2024-11-10,4,1458246,854178,1123002,1409066,1847444.76805151,2213670,2657514,3217312
"5","DE","00-04",2024-10-17,2024-10-20,1,200728,123616,141841,159631,183120.793067786,204404,227006,254132
"6","DE","00-04",2024-10-17,2024-10-27,2,191870,133095,155673,177980,208092.322859854,235043,264248,299580
"7","DE","00-04",2024-10-17,2024-11-03,3,156082,135410,161386,187358,223171.76741599,254851,289847,332502
"8","DE","00-04",2024-10-17,2024-11-10,4,181588,137051,166384,196058,237825.457713956,274357,315462,365916
"9","DE","05-14",2024-10-17,2024-10-20,1,144455,78052,98341,119355,150150.49505674,176501,207226,245441
"10","DE","05-14",2024-10-17,2024-10-27,2,138826,82113,107263,133917,174490.172103304,208506,249497,301091
"11","DE","05-14",2024-10-17,2024-11-03,3,117440,84264,111289,140130,184534.160766605,221538,266564,323433
"12","DE","05-14",2024-10-17,2024-11-10,4,164040,84862,113857,145112,194015.227517815,234421,284266,347524
"13","DE","15-34",2024-10-17,2024-10-20,1,444126,239874,289260,339007,408510.329499949,469548,537773,621305
"14","DE","15-34",2024-10-17,2024-10-27,2,414051,243964,302597,362722,449361.382183928,524176,610126,716449
"15","DE","15-34",2024-10-17,2024-11-03,3,312855,235057,298873,365354,463729.685712742,547467,645934,768788
"16","DE","15-34",2024-10-17,2024-11-10,4,443559,227893,299758,376255,493541.633613232,591498,710265,860082
"17","DE","35-59",2024-10-17,2024-10-20,1,507285,326360,390316,454402,543119.131213852,621425,708233,814182
"18","DE","35-59",2024-10-17,2024-10-27,2,507285,328472,406757,486952,602309.074198254,702017,816388,957789
"19","DE","35-59",2024-10-17,2024-11-03,3,394014,310737,400180,494118,635010.857474909,754074,895726,1073210
"20","DE","35-59",2024-10-17,2024-11-10,4,522197,289532,393298,506041,684665.015094746,831280,1014071,1246907
"21","DE","60+",2024-10-17,2024-10-20,1,171240,109397,127589,145530,169669.001337841,191313,214698,242955
"22","DE","60+",2024-10-17,2024-10-27,2,177983,114910,135036,154980,182046.008302653,206199,232499,264377
"23","DE","60+",2024-10-17,2024-11-03,3,135354,105568,128295,151301,183719.989211987,212057,243974,283167
"24","DE","60+",2024-10-17,2024-11-10,4,169794,99626,126220,153861,194607.706054694,229363,270095,320854
"25","DE","00+",2024-10-24,2024-10-27,1,1407532,1024842,1193073,1358792,1581298.70237316,1781038,1996424,2256497
"26","DE","00+",2024-10-24,2024-11-03,2,1098257,918390,1114789,1313449,1593036.34098275,1837592,2112729,2450429
"27","DE","00+",2024-10-24,2024-11-10,3,1458246,890963,1117778,1352059,1693829.17957754,1986995,2327452,2750299
"28","DE","00+",2024-10-24,2024-11-17,4,1372614,729734,959393,1203782,1578294.1189261,1891165,2270346,2748588
"29","DE","00-04",2024-10-24,2024-10-27,1,191870,155904,178890,201326,230950.460636226,257792,286297,320507
"30","DE","00-04",2024-10-24,2024-11-03,2,156082,155296,181640,207668,242803.596315872,274250,308326,349551
"31","DE","00-04",2024-10-24,2024-11-10,3,181588,152527,181786,211041,251381.414530898,287065,326484,374531
"32","DE","00-04",2024-10-24,2024-11-17,4,192937,148186,179902,211986,257146.468941567,296645,341090,395643
"33","DE","05-14",2024-10-24,2024-10-27,1,138826,97647,123030,149319,187845.603062305,220812,259249,307057
"34","DE","05-14",2024-10-24,2024-11-03,2,117440,92526,120864,150897,196615.387647013,234945,281132,339268
"35","DE","05-14",2024-10-24,2024-11-10,3,164040,96235,127099,160037,210749.96719128,253010,304433,369381
"36","DE","05-14",2024-10-24,2024-11-17,4,181000,95636,128311,163535,218646.459701305,264182,320355,391644
"37","DE","15-34",2024-10-24,2024-10-27,1,414051,274576,331107,388050,467608.022505377,537476,615570,711186
"38","DE","15-34",2024-10-24,2024-11-03,2,312855,266714,330814,396547,491264.755791584,573056,667020,783258
"39","DE","15-34",2024-10-24,2024-11-10,3,443559,258486,328663,401769,509950.794431983,602035,710315,845414
"40","DE","15-34",2024-10-24,2024-11-17,4,398352,225450,296545,372222,488250.965086513,585157,702651,850862
"41","DE","35-59",2024-10-24,2024-10-27,1,507285,377842,451886,526082,628792.901588033,719451,819952,942613
"42","DE","35-59",2024-10-24,2024-11-03,2,394014,369357,457386,547563,677278.128309001,789397,918003,1077004
"43","DE","35-59",2024-10-24,2024-11-10,3,522197,354323,456313,563426,724081.560068446,859845,1021365,1223744
"44","DE","35-59",2024-10-24,2024-11-17,4,466565,305920,415560,534685,723419.310614031,878333,1071471,1317485
"45","DE","60+",2024-10-24,2024-10-27,1,177983,116589,135976,155097,180822.834389602,203890,228811,258926
"46","DE","60+",2024-10-24,2024-11-03,2,135354,121947,143305,164470,193193.188263492,218825,246735,280565
"47","DE","60+",2024-10-24,2024-11-10,3,169794,122994,149473,176276,214045.909656336,247060,284246,329907
"48","DE","60+",2024-10-24,2024-11-17,4,154380,115060,145773,177696,224754.660151176,264894,311936,370558
"49","DE","00+",2024-10-31,2024-11-03,1,1098257,950615,1106662,1260378,1466769.84724238,1652043,1851829,2093066
"50","DE","00+",2024-10-31,2024-11-10,2,1458246,876273,1063665,1253214,1519979.54430968,1753320,2015839,2338053
"51","DE","00+",2024-10-31,2024-11-17,3,1372614,744070,933490,1129146,1414568.85692936,1659400,1943727,2296860
"52","DE","00+",2024-10-31,2024-11-24,4,1410858,614216,807520,1013222,1328448.9448274,1591792,1910949,2313485
"53","DE","00-04",2024-10-31,2024-11-03,1,156082,153881,176569,198714,227953.840322466,254447,282582,316349
"54","DE","00-04",2024-10-31,2024-11-10,2,181588,154733,180981,206915,241922.367830238,273255,307207,348282
"55","DE","00-04",2024-10-31,2024-11-17,3,192937,146126,174158,202185,240833.495503517,275020,312785,358815
"56","DE","00-04",2024-10-31,2024-11-24,4,184791,147105,178590,210440,255271.790833484,294483,338603,392759
"57","DE","05-14",2024-10-31,2024-11-03,1,117440,97459,122793,149032,187484.080670923,220387,258750,306467
"58","DE","05-14",2024-10-31,2024-11-10,2,164040,96630,126226,157591,205336.416357372,245366,293602,354317
"59","DE","05-14",2024-10-31,2024-11-17,3,181000,95038,125517,158045,208126.940397691,249861,300644,364784
"60","DE","05-14",2024-10-31,2024-11-24,4,176497,92312,123853,157852,211048.532144574,255002,309223,378034
"61","DE","15-34",2024-10-31,2024-11-03,1,312855,274835,331419,388416,468048.674671166,537982,616150,711856
"62","DE","15-34",2024-10-31,2024-11-10,2,443559,262010,324980,389553,482601.140483342,562950,655257,769445
"63","DE","15-34",2024-10-31,2024-11-17,3,398352,241461,307015,375306,476362.388158724,562381,663530,789730
"64","DE","15-34",2024-10-31,2024-11-24,4,419158,216184,284357,356924,468183.836052653,561107,673772,815892
"65","DE","35-59",2024-10-31,2024-11-03,1,394014,381664,456457,531403,635152.663141126,726728,828245,952147
"66","DE","35-59",2024-10-31,2024-11-10,2,522197,356643,441642,528715,653965.11615105,762225,886404,1039932
"67","DE","35-59",2024-10-31,2024-11-17,3,466565,332862,428673,529299,680223.202274504,807763,959500,1149621
"68","DE","35-59",2024-10-31,2024-11-24,4,497822,271353,368604,474269,641677.398885095,779087,950402,1168618
"69","DE","60+",2024-10-31,2024-11-03,1,135354,119168,138985,158528,184823.839130602,208401,233874,264655
"70","DE","60+",2024-10-31,2024-11-10,2,169794,121087,142295,163310,191831.181679994,217282,244996,278587
"71","DE","60+",2024-10-31,2024-11-17,3,154380,117590,142905,168531,204641.407385985,236205,271757,315412
"72","DE","60+",2024-10-31,2024-11-24,4,154140,100364,127155,155001,196049.365220665,231062,272096,323231
"73","DE","00+",2024-11-07,2024-11-10,1,1458246,805146,937313,1067507,1242315.87972023,1399237,1568452,1772773
"74","DE","00+",2024-11-07,2024-11-17,2,1372614,767704,931878,1097943,1331657.25570865,1536087,1766081,2048373
"75","DE","00+",2024-11-07,2024-11-24,3,1410858,659129,826926,1000246,1253085.93295402,1469968,1721837,2034658
"76","DE","00+",2024-11-07,2024-12-01,4,1342684,591789,778035,976226,1279943.15643189,1533671,1841174,2229013
"77","DE","00-04",2024-11-07,2024-11-10,1,181588,130452,149686,168459,193247.783382121,215708,239559,268185
"78","DE","00-04",2024-11-07,2024-11-17,2,192937,123014,143882,164500,192331.552059138,217241,244234,276890
"79","DE","00-04",2024-11-07,2024-11-24,3,184791,120713,143870,167023,198950.749591985,227192,258390,296416
"80","DE","00-04",2024-11-07,2024-12-01,4,186254,116133,140989,166134,201526.662202724,232482,267314,310068
"81","DE","05-14",2024-11-07,2024-11-10,1,164040,73284,92334,112064,140978.611419272,165720,194567,230448
"82","DE","05-14",2024-11-07,2024-11-17,2,181000,67794,88558,110564,144062.274948481,172147,205989,248587
"83","DE","05-14",2024-11-07,2024-11-24,3,176497,69705,92061,115919,152651.334470026,183262,220509,267553
"84","DE","05-14",2024-11-07,2024-12-01,4,175672,65861,88364,112622,150575.676347279,181935,220620,269715
"85","DE","15-34",2024-11-07,2024-11-10,1,443559,212018,255670,299640,361072.222461473,415022,475325,549157
"86","DE","15-34",2024-11-07,2024-11-17,2,398352,190531,236323,283281,350944.720622883,409374,476500,559537
"87","DE","15-34",2024-11-07,2024-11-24,3,419158,170325,216568,264740,336025.505937441,396703,468054,557076
"88","DE","15-34",2024-11-07,2024-12-01,4,390597,151446,199205,250042,327985.006696775,393082,472010,571572
"89","DE","35-59",2024-11-07,2024-11-10,1,522197,273566,327177,380896,455262.234621422,520902,593667,682478
"90","DE","35-59",2024-11-07,2024-11-17,2,466565,244868,303228,363012,449008.702168452,523339,608601,714012
"91","DE","35-59",2024-11-07,2024-11-24,3,497822,211034,271779,335575,431262.190300738,512123,608325,728862
"92","DE","35-59",2024-11-07,2024-12-01,4,469719,178008,241805,311121,420942.565018952,511084,623467,766618
"93","DE","60+",2024-11-07,2024-11-10,1,169794,107548,125433,143071,166802.084728178,188081,211070,238849
"94","DE","60+",2024-11-07,2024-11-17,2,154380,101189,118911,136474,160308.235983715,181577,204737,232809
"95","DE","60+",2024-11-07,2024-11-24,3,154140,87704,106585,125698,152631.643729878,176174,202691,235251
"96","DE","60+",2024-11-07,2024-12-01,4,141857,75668,95868,116862,147810.808673225,174209,205147,243700
"97","DE","00+",2024-11-14,2024-11-17,1,1372614,853588,993708,1131735,1317061.04999721,1483424,1662819,1879434
"98","DE","00+",2024-11-14,2024-11-24,2,1410858,739231,897317,1057223,1282268.92150806,1479117,1700581,1972404
"99","DE","00+",2024-11-14,2024-12-01,3,1342684,649407,814728,985492,1234602.85195168,1448286,1696440,2004647
"100","DE","00+",2024-11-14,2024-12-08,4,1372614,451460,593542,744737,976434.924516819,1169997,1404584,1700456
"101","DE","00-04",2024-11-14,2024-11-17,1,192937,128693,147667,166187,190641.386048288,212799,236329,264568
"102","DE","00-04",2024-11-14,2024-11-24,2,184791,122340,143094,163598,191277.900292579,216051,242896,275373
"103","DE","00-04",2024-11-14,2024-12-01,3,186254,123801,147551,171296,204039.94369464,233003,264999,303998
"104","DE","00-04",2024-11-14,2024-12-08,4,195270,118693,144097,169796,205969.098001704,237607,273206,316903
"105","DE","05-14",2024-11-14,2024-11-17,1,181000,75004,94502,114695,144288.8584516,169611,199136,235859
"106","DE","05-14",2024-11-14,2024-11-24,2,176497,67598,88303,110245,143646.238056575,171650,205394,247869
"107","DE","05-14",2024-11-14,2024-12-01,3,175672,69550,91855,115660,152311.316399121,182854,220018,266957
"108","DE","05-14",2024-11-14,2024-12-08,4,179649,68400,91771,116964,156381.526689374,188950,229126,280115
"109","DE","15-34",2024-11-14,2024-11-17,1,398352,191084,230426,270055,325422.027912505,374045,428394,494937
"110","DE","15-34",2024-11-14,2024-11-24,2,419158,185896,230574,276389,342407.052246157,399415,464908,545925
"111","DE","15-34",2024-11-14,2024-12-01,3,390597,174426,221782,271115,344116.229675711,406255,479324,570489
"112","DE","15-34",2024-11-14,2024-12-08,4,401567,162319,213507,267994,351532.923949605,421304,505898,612608
"113","DE","35-59",2024-11-14,2024-11-17,1,466565,253108,302709,352412,421216.483465823,481947,549271,631440
"114","DE","35-59",2024-11-14,2024-11-24,2,497822,236872,293326,351159,434347.087162296,506251,588728,690698
"115","DE","35-59",2024-11-14,2024-12-01,3,469719,216657,279021,344517,442753.872099261,525769,624535,748284
"116","DE","35-59",2024-11-14,2024-12-08,4,465705,190979,259424,333792,451614.930019213,548324,668897,822479
"117","DE","60+",2024-11-14,2024-11-17,1,154380,96632,112702,128550,149872.798037848,168992,189648,214608
"118","DE","60+",2024-11-14,2024-11-24,2,154140,92454,108647,124693,146470.911941534,165904,187065,212714
"119","DE","60+",2024-11-14,2024-12-01,3,141857,87109,105863,124846,151597.18084682,174980,201317,233657
"120","DE","60+",2024-11-14,2024-12-08,4,151249,75800,96034,117065,148067.18591042,174511,205502,244123
"121","DE","00+",2024-11-21,2024-11-24,1,1410858,1055677,1228970,1399675,1628876.20217612,1834625,2056492,2324390
"122","DE","00+",2024-11-21,2024-12-01,2,1342684,938155,1138780,1341716,1627319.62632806,1877138,2158196,2503164
"123","DE","00+",2024-11-21,2024-12-08,3,1372614,905078,1135486,1373478,1720662.50632881,2018472,2364323,2793869
"124","DE","00+",2024-11-21,2024-12-15,4,1448270,695386,914236,1147121,1504005.30216601,1802149,2163483,2619215
"125","DE","00-04",2024-11-21,2024-11-24,1,184791,142335,163320,183804,210850.049507922,235356,261380,292613
"126","DE","00-04",2024-11-21,2024-12-01,2,186254,140515,164351,187902,219693.14480289,248147,278979,316280
"127","DE","00-04",2024-11-21,2024-12-08,3,195270,139077,165756,192431,229215.088328608,261752,297695,341506
"128","DE","00-04",2024-11-21,2024-12-15,4,215003,135667,164704,194078,235423.750366391,271586,312276,362221
"129","DE","05-14",2024-11-21,2024-11-24,1,176497,88790,111871,135776,170808.534302256,200785,235736,279209
"130","DE","05-14",2024-11-21,2024-12-01,2,175672,82964,108375,135305,176298.68175784,210667,252082,304211
