"","model","horizon","wis","overprediction","underprediction","dispersion","bias","interval_coverage_50","ae_median"
"1","Inferno Log-Normal",1,54193.6388480412,4336.92861975565,18529.0198913146,31327.6903369709,-0.140909090909091,0.772727272727273,82130.13516911
"2","Inferno Log-Normal",2,61030.5266806705,7904.91444160942,14272.0667719818,38853.5454670793,-0.161363636363636,0.727272727272727,87586.0666975813
"3","Inferno Log-Normal",3,76579.6075569847,14379.5336350879,18298.335520475,43901.7384014217,-0.0795454545454545,0.727272727272727,129706.487786259
"4","Inferno Log-Normal",4,78051.3080209117,13975.0759305139,17769.525116217,46306.7069741809,-0.0818181818181818,0.727272727272727,120518.336125875
"5","Inferno Negative Binomial",1,54682.0902029221,4670.11688311688,18813.0886363636,31198.8846834416,-0.0954545454545455,0.772727272727273,84653.2727272727
"6","Inferno Negative Binomial",2,60756.5344155844,7814.58798701299,14232.5766233766,38709.3698051948,-0.206818181818182,0.727272727272727,87043.6590909091
"7","Inferno Negative Binomial",3,75881.5009090909,14116.3227272727,17792.9844155844,43972.1937662338,-0.0795454545454545,0.727272727272727,127364
"8","Inferno Negative Binomial",4,78247.8200162338,14222.5961038961,17982.638961039,46042.5849512987,-0.127272727272727,0.727272727272727,121319.068181818
"9","MoA Negative Binomial",1,126750.505270865,13046.6904794918,55751.0917394249,57952.7230519481,-0.222727272727273,0.5,248107.657350599
"10","MoA Negative Binomial",2,198937.034837335,52012.7898808424,77782.7550214279,69141.4899350649,-0.263636363636364,0.409090909090909,359577.268861346
"11","MoA Negative Binomial",3,242082.011617358,66297.8251435339,99679.7809543435,76104.4055194805,-0.238636363636364,0.409090909090909,437566.697230596
"12","MoA Negative Binomial",4,214817.510723243,37878.5791856308,95627.3208233265,81311.6107142857,-0.365909090909091,0.409090909090909,377744.027335428
"13","MoA Log-Normal",1,123822.037462787,13849.5330211961,49147.1876049524,60825.3168366387,-0.179545454545455,0.409090909090909,248107.657350599
"14","MoA Log-Normal",2,194990.863673938,55493.6662703172,67270.3844704346,72226.8129331864,-0.243181818181818,0.363636363636364,359577.268861346
"15","MoA Log-Normal",3,238456.162712076,74377.5312087054,85783.9048810125,78294.7266223579,-0.229545454545455,0.409090909090909,437566.697230596
"16","MoA Log-Normal",4,207367.593060222,42072.1005308706,82748.3178717277,82547.1746576239,-0.302272727272727,0.409090909090909,377744.027335428
"17","hhh4",1,115049.448051948,12102.2077922078,46557.1428571429,56390.0974025974,-0.0909090909090909,0.636363636363636,183186.090909091
"18","hhh4",2,181042.948051948,51084.1038961039,63089.7532467532,66869.0909090909,0.0477272727272727,0.590909090909091,283055.181818182
"19","hhh4",3,233397.233766234,68165.2987012987,89333.0064935065,75898.9285714286,0.259090909090909,0.5,374450.590909091
"20","hhh4",4,252852.837662338,69595.4675324675,99434.1233766234,83823.2467532468,0.302272727272727,0.5,411564.409090909
"21","hhh4_christmas",1,77262.7662337662,14386.1363636364,10507.9935064935,52368.6363636364,-0.0113636363636364,0.727272727272727,122943.818181818
"22","hhh4_christmas",2,91468.6298701299,23937.0194805195,8933.72077922078,58597.8896103896,-0.106818181818182,0.772727272727273,129327.272727273
"23","hhh4_christmas",3,95583.0844155844,22094.2077922078,11192.8376623377,62296.038961039,-0.120454545454545,0.727272727272727,153329.681818182
"24","hhh4_christmas",4,104228.298701299,17706.3116883117,21733.8376623377,64788.1493506493,-0.0568181818181818,0.681818181818182,177416.590909091
"25","TSMixer",1,129729.255969968,893.607467532468,44457.9796753247,84377.6688271104,-0.518181818181818,0.681818181818182,234646.031818182
"26","TSMixer",2,156526.691534091,18136.6208766234,55683.0813636364,82706.9892938312,-0.418181818181818,0.5,308175.175
"27","TSMixer",3,165497.350842532,13348.2790909091,71658.4132467532,80490.6585048701,-0.277272727272727,0.636363636363636,292318.681818182
"28","TSMixer",4,194274.841395292,22160.3238961039,94660.2616883117,77454.2558108766,-0.311363636363636,0.409090909090909,344879.654545455
"29","LightGBM",1,84835.9663624318,10422.0603157105,34195.6003278595,40218.3057188618,-0.0681818181818182,0.590909090909091,127154.193557507
"30","LightGBM",2,127062.373258081,27867.1685965255,53793.6776305898,45401.5270309657,-0.275,0.318181818181818,229706.450198748
"31","LightGBM",3,171870.200617494,39408.9050997482,81354.4468988576,51106.8486188883,-0.218181818181818,0.318181818181818,329821.592029172
"32","LightGBM",4,189051.590696121,36412.7603629329,100446.396360952,52192.4339722364,-0.161363636363636,0.272727272727273,335645.567577053
"33","MeanEnsemble",1,96777.6330962819,3694.58981917149,32754.3526275871,60328.6906495233,-0.334090909090909,0.772727272727273,152189.227547951
"34","MeanEnsemble",2,137948.238696969,26651.6889562184,46304.0139961215,64992.5357446293,-0.190909090909091,0.681818181818182,231499.140278712
"35","MeanEnsemble",3,167074.613855234,29742.4341707488,68166.7011194226,69165.4785650624,-0.0113636363636364,0.590909090909091,262501.58365803
"36","MeanEnsemble",4,184351.825821816,32194.4370304979,81000.7432791977,71156.64551212,0.0477272727272727,0.636363636363636,279343.137987509
"37","EnsembleComplete",1,102227.869808674,4523.97631705026,37153.6398713646,60550.2536202593,-0.315909090909091,0.681818181818182,168944.873271093
"38","EnsembleComplete",2,150210.802552777,32735.6537430314,52602.7138032213,64872.4350065239,-0.256818181818182,0.590909090909091,242023.559218066
"39","EnsembleComplete",3,171345.00423944,29314.4467315262,73410.5442821688,68620.0132257449,-0.0568181818181818,0.590909090909091,264721.804838282
"40","EnsembleComplete",4,186806.104960795,30473.8725858763,83720.1756758937,72612.056699025,-0.0954545454545454,0.636363636363636,283900.264963582
