"","model","horizon","wis","overprediction","underprediction","dispersion","bias","interval_coverage_50","ae_median"
"1","Inferno Log-Normal",1,68529.1657576707,19939.8455715486,22548.6471596131,26040.6730265089,0.0977272727272727,0.5,117098.147134385
"2","Inferno Log-Normal",2,78117.836235298,33207.0242316499,11860.3808534541,33050.4311501941,0.197727272727273,0.363636363636364,152744.473471744
"3","Inferno Log-Normal",3,79086.4993257297,36781.263588984,4240.37528699963,38064.8604497461,0.340909090909091,0.363636363636364,154687.044428668
"4","Inferno Log-Normal",4,86986.4953218973,39934.7204189371,6329.91526031036,40721.8596426498,0.340909090909091,0.454545454545455,164245.800334243
"5","Inferno Log-Normal",1,4924.60676593664,1376.97275728492,834.767322242727,2712.866686409,0.0477272727272727,0.590909090909091,8791.05342012523
"6","Inferno Log-Normal",2,5900.17741093756,2088.34265259033,418.183991647578,3393.65076669965,0.197727272727273,0.636363636363636,9785.61313885486
"7","Inferno Log-Normal",3,6937.60971147116,2822.86502868028,269.933060677825,3844.81162211306,0.204545454545455,0.727272727272727,10608.0863184601
"8","Inferno Log-Normal",4,7743.58195673081,3209.01304407169,514.378097564305,4020.19081509482,0.372727272727273,0.5,13162.8701401152
"9","Inferno Log-Normal",1,7616.30694026899,2472.8320504274,1844.54346933082,3298.93142051078,0.0136363636363636,0.409090909090909,14256.8720913519
"10","Inferno Log-Normal",2,10356.1660013396,3953.67392152192,2151.15531447287,4251.33676534485,-0.00454545454545454,0.454545454545455,18616.7682521976
"11","Inferno Log-Normal",3,11698.1357402201,5156.72364751635,1702.17096031219,4839.24113239151,0.197727272727273,0.409090909090909,22322.0028356486
"12","Inferno Log-Normal",4,12702.9389787782,5802.8576619364,1815.7968575533,5084.28445928849,0.145454545454545,0.272727272727273,24737.5529952045
"13","Inferno Log-Normal",1,22462.5312849174,5812.45703626734,7983.28580202551,8666.7884466245,0.05,0.363636363636364,39246.4254090262
"14","Inferno Log-Normal",2,23649.5535155996,9179.01398421622,4070.72472903784,10399.8148023455,0.181818181818182,0.318181818181818,48843.1365744706
"15","Inferno Log-Normal",3,24997.9350551152,11240.3720989458,2204.4557706806,11553.1071854888,0.315909090909091,0.409090909090909,48087.843344681
"16","Inferno Log-Normal",4,26965.1308408927,12425.0185461547,2466.67895115244,12073.4333435856,0.327272727272727,0.454545454545455,48903.2118328289
"17","Inferno Log-Normal",1,29601.9157563923,8869.15238792392,9794.17344977079,10938.5899186976,0.0159090909090909,0.5,49678.9460827996
"18","Inferno Log-Normal",2,34632.5872174785,14942.4114138201,5732.37623464156,13957.7995690169,0.188636363636364,0.409090909090909,67492.4705990146
"19","Inferno Log-Normal",3,33444.0118508031,15312.4649050091,1870.85894146586,16260.6880043282,0.361363636363636,0.5,63023.3714233545
"20","Inferno Log-Normal",4,36530.6626324489,16582.0642223153,2434.44342943281,17514.1549807008,0.336363636363636,0.5,67216.7967844363
"21","Inferno Log-Normal",1,10692.9968920516,3071.90693012952,3874.2992515265,3746.79071039559,0.122727272727273,0.636363636363636,16762.3495057244
"22","Inferno Log-Normal",2,11444.3409396862,4669.814971567,1983.26449158901,4791.26147653016,0.181818181818182,0.5,19945.354004318
"23","Inferno Log-Normal",3,11071.3393892879,4541.51983094224,870.454030773571,5659.36552757204,0.390909090909091,0.454545454545455,20634.4065898131
"24","Inferno Log-Normal",4,12215.7872802899,4588.98493214981,1442.74189468,6184.06045346006,0.265909090909091,0.454545454545455,22840.1770885539
