"","model","horizon","wis","overprediction","underprediction","dispersion","bias","interval_coverage_50","ae_median"
"1","Inferno Log-Normal",1,22410.297160809,2308.70814132129,6907.79126312074,13193.7977563669,-0.127272727272727,0.727272727272727,37584.3738019386
"2","Inferno Log-Normal",2,23181.8360994193,2619.4633782532,4065.21797292744,16497.1547482387,-0.175,0.772727272727273,31369.1336408296
"3","Inferno Log-Normal",3,29850.4422762065,4917.98241555132,6082.59090429379,18849.8689563614,-0.0704545454545455,0.772727272727273,48149.6106921186
"4","Inferno Log-Normal",4,29904.7240817972,4655.09489024648,5261.08285831925,19988.5463332314,-0.00454545454545455,0.681818181818182,43569.3520618586
"5","Inferno Negative Binomial",1,22582.0213149351,2433.23701298701,7115.8198051948,13032.9644967532,-0.127272727272727,0.727272727272727,38408
"6","Inferno Negative Binomial",2,23144.3790909091,2624.27207792208,4176.85714285714,16343.2498701299,-0.220454545454545,0.772727272727273,31486.0909090909
"7","Inferno Negative Binomial",3,29796.3403246753,4965.57987012987,6043.59350649351,18787.1669480519,-0.0681818181818182,0.772727272727273,47648.3181818182
"8","Inferno Negative Binomial",4,30092.3307954545,4711.11785714286,5477.54805194805,19903.6648863636,0.0227272727272727,0.772727272727273,43844.1363636364
"9","MoA Negative Binomial",1,50860.836093349,7055.76616762862,21026.2760945516,22778.7938311688,-0.270454545454545,0.454545454545455,96935.3867443524
"10","MoA Negative Binomial",2,70062.2919608371,16631.2854293023,27618.2195185478,25812.787012987,-0.206818181818182,0.545454545454545,125870.898271314
"11","MoA Negative Binomial",3,82278.1082616102,18238.1483948099,35239.8731784885,28800.0866883117,-0.193181818181818,0.318181818181818,154862.332831271
"12","MoA Negative Binomial",4,84157.2198198421,18730.3622920199,32338.6046057443,33088.2529220779,-0.172727272727273,0.409090909090909,152953.313738895
"13","MoA Log-Normal",1,49802.9012928712,7526.9716927069,18275.9522874854,23999.9773126789,-0.243181818181818,0.5,96935.3867443524
"14","MoA Log-Normal",2,69095.1033385726,18066.3264396091,24120.4067472549,26908.3701517085,-0.170454545454545,0.454545454545455,125870.898271314
"15","MoA Log-Normal",3,81938.0374467612,21087.0533976402,31620.0527393162,29230.9313098048,-0.156818181818182,0.409090909090909,154862.332831271
"16","MoA Log-Normal",4,83864.0161372672,22148.69319875,28570.4803585472,33144.84257997,-0.125,0.272727272727273,152953.313738895
"17","hhh4",1,43614.3506493507,6214.01298701299,12937.9675324675,24462.3701298701,0.075,0.727272727272727,73732.4090909091
"18","hhh4",2,67676.1103896104,21638.9025974026,16753.1168831169,29284.0909090909,0.220454545454545,0.545454545454545,119304.590909091
"19","hhh4",3,89905.025974026,31022.4285714286,25206.3636363636,33676.2337662338,0.313636363636364,0.318181818181818,166368.181818182
"20","hhh4",4,103288.051948052,35486.8506493507,30055.9090909091,37745.2922077922,0.359090909090909,0.318181818181818,191772.863636364
"21","TSMixer",1,50202.2260795455,282.447727272728,17688.2572727273,32231.5210795455,-0.459090909090909,0.727272727272727,82613.9159090909
"22","TSMixer",2,58021.9291907468,6287.36964285714,20284.9191558442,31449.6403920455,-0.347727272727273,0.5,112471.477272727
"23","TSMixer",3,61396.9287686688,5212.54983766234,25665.675974026,30518.7029569805,-0.277272727272727,0.636363636363636,112379
"24","TSMixer",4,72444.498424513,8021.63412337662,35072.5833441558,29350.2809569805,-0.304545454545455,0.363636363636364,133653.456818182
"25","LightGBM",1,32064.0879303126,6858.90529030839,10118.7275367931,15086.4551032111,0.120454545454545,0.5,50608.5690002746
"26","LightGBM",2,45658.9016833099,12974.637803022,15120.563174301,17563.7007059869,-0.0795454545454545,0.363636363636364,85558.8262865295
"27","LightGBM",3,62013.8102601468,17613.3827665896,23635.1377452889,20765.2897482683,-0.104545454545455,0.272727272727273,125484.780103103
"28","LightGBM",4,71774.4746441331,17008.8645845103,34031.5691644695,20734.0408951532,-0.154545454545455,0.318181818181818,137185.248846444
"29","MeanEnsemble",1,35412.2060639804,1769.58230190688,9715.84165786464,23926.7821042089,-0.229545454545455,0.772727272727273,49992.0911298211
"30","MeanEnsemble",2,49291.924412513,10805.6652656669,12387.1151444717,26099.1440023744,-0.136363636363636,0.681818181818182,81155.7886959411
"31","MeanEnsemble",3,61530.776446712,13294.9453428908,19915.755613327,28320.0754904942,0.109090909090909,0.681818181818182,106342.911106222
"32","MeanEnsemble",4,70135.6210085025,14120.6273197765,26738.4556687506,29276.5380199753,0.05,0.636363636363636,113610.766593915
