"","model","horizon","wis","overprediction","underprediction","dispersion","bias","interval_coverage_50","ae_median"
"1","Inferno Log-Normal",1,7603.30417067458,722.945533665091,2619.86577343438,4260.4928635751,-0.172727272727273,0.727272727272727,12900.1749641943
"2","Inferno Log-Normal",2,7675.08941017956,770.175406082185,1554.39832116615,5350.51568293123,-0.163636363636364,0.818181818181818,12609.1334932622
"3","Inferno Log-Normal",3,8832.08212718149,1115.75136878019,1489.06080200436,6227.26995639694,-0.0522727272727273,0.772727272727273,14519.6082620775
"4","Inferno Log-Normal",4,9473.76235567972,1140.6867366978,1602.91467850127,6730.16094048066,-0.156818181818182,0.636363636363636,14787.4730528667
"5","Inferno Negative Binomial",1,7618.37220779221,724.730519480519,2683.84448051948,4209.79720779221,-0.186363636363636,0.681818181818182,12976.3863636364
"6","Inferno Negative Binomial",2,7686.18656655844,764.824675324675,1595.68766233766,5325.6742288961,-0.163636363636364,0.818181818181818,12593.1590909091
"7","Inferno Negative Binomial",3,8862.0694724026,1114.08441558442,1531.22402597403,6216.76103084416,-0.0977272727272727,0.681818181818182,14629.8181818182
"8","Inferno Negative Binomial",4,9438.07034902597,1106.39675324675,1639.11688311688,6692.55671266234,-0.156818181818182,0.636363636363636,14990.7727272727
"9","MoA Negative Binomial",1,13656.8109779315,2156.46490610631,4418.66457831867,7081.68149350649,-0.0886363636363636,0.545454545454545,22369.1791182476
"10","MoA Negative Binomial",2,17425.6319639656,4593.75738880159,5780.85152321598,7051.02305194805,-0.115909090909091,0.454545454545455,31412.7169295775
"11","MoA Negative Binomial",3,19854.0918182791,4352.70021231816,7417.49063193494,8083.90097402597,-0.152272727272727,0.5,33490.9722734081
"12","MoA Negative Binomial",4,22100.126904113,4684.00382421761,8019.14320976556,9396.97987012987,-0.113636363636364,0.454545454545455,37885.6656015185
"13","MoA Log-Normal",1,13660.0974405166,2303.84065536494,3804.49465842738,7551.76212672429,-0.0340909090909091,0.681818181818182,22369.1791182476
"14","MoA Log-Normal",2,17248.0466725892,4816.6534534004,4930.79987999992,7500.59333918885,-0.0727272727272727,0.454545454545455,31412.7169295775
"15","MoA Log-Normal",3,19760.8703046705,4715.34651073886,6629.6973541067,8415.82643982496,-0.131818181818182,0.454545454545455,33490.9722734081
"16","MoA Log-Normal",4,21915.6665550072,5258.1876051857,7036.0189949034,9621.45995491806,-0.106818181818182,0.454545454545455,37885.6656015185
"17","hhh4",1,15023.474025974,1997.63636363636,1874.21428571429,11151.6233766234,0.129545454545455,0.909090909090909,20621.8636363636
"18","hhh4",2,19179.474025974,5561.73376623377,1075.20779220779,12542.5324675325,0.147727272727273,0.863636363636364,29155.0454545455
"19","hhh4",3,21731.3051948052,6878.42857142857,979.694805194805,13873.1818181818,0.175,0.772727272727273,34355.5
"20","hhh4",4,24996.6818181818,8128.87662337662,1727.15584415584,15140.6493506494,0.206818181818182,0.636363636363636,45558.7727272727
"21","TSMixer",1,18527.8111534091,1215.55454545455,6322.97801948052,10989.278588474,-0.279545454545455,0.636363636363636,29817.1477272727
"22","TSMixer",2,18079.4010787338,2060.07792207792,5333.63376623377,10685.6893904221,-0.315909090909091,0.636363636363636,31698.2431818182
"23","TSMixer",3,15297.1755625,1004.62253246753,3905.38597402597,10387.1670560065,-0.281818181818182,0.727272727272727,23911.1636363636
"24","TSMixer",4,19182.7612199675,1531.30019480519,7655.82266233766,9995.63836282468,-0.331818181818182,0.590909090909091,33322.6795454545
"25","LightGBM",1,11615.8093210343,2724.07902119499,3060.71506796647,5831.01523187289,0.0636363636363636,0.636363636363636,21627.3177524297
"26","LightGBM",2,12890.4558605952,3048.93739706789,3649.84436821684,6191.67409531046,-0.0159090909090909,0.454545454545455,22068.2220705273
"27","LightGBM",3,14191.9677319175,3278.65577487505,4028.25857949112,6885.05337755136,-0.104545454545455,0.545454545454545,26503.5927155684
"28","LightGBM",4,16795.0877089891,3095.2878032118,6323.73153865041,7376.06836712687,-0.238636363636364,0.545454545454545,35055.8141555445
"29","MeanEnsemble",1,12991.665754295,1076.76297726529,2590.93037803956,9323.9723989901,0.0818181818181818,0.818181818181818,16553.2597116784
"30","MeanEnsemble",2,14127.8283332632,2665.02616478606,1656.17018405551,9806.63198442166,-0.0363636363636364,0.818181818181818,18791.6409233921
"31","MeanEnsemble",3,14490.163477779,2596.97686225381,1511.38586494532,10381.8007505799,-0.025,0.863636363636364,20462.8987349763
"32","MeanEnsemble",4,16682.5166408117,2753.40035248985,3091.66426145484,10837.452026867,-0.0136363636363636,0.863636363636364,26249.6710109784
