location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-10-17,2024-10-20,1,quantile,0.025,579611.3400000001
DE,00+,2024-10-17,2024-10-20,1,quantile,0.1,742308.23
DE,00+,2024-10-17,2024-10-20,1,quantile,0.25,912490.025
DE,00+,2024-10-17,2024-10-20,1,quantile,0.5,1130704.2
DE,00+,2024-10-17,2024-10-20,1,quantile,0.75,1383962.35
DE,00+,2024-10-17,2024-10-20,1,quantile,0.9,1640845.16
DE,00+,2024-10-17,2024-10-20,1,quantile,0.975,1961921.1200000003
DE,00+,2024-10-17,2024-10-27,2,quantile,0.025,586049.5175
DE,00+,2024-10-17,2024-10-27,2,quantile,0.1,749966.87
DE,00+,2024-10-17,2024-10-27,2,quantile,0.25,923431.275
DE,00+,2024-10-17,2024-10-27,2,quantile,0.5,1145155.45
DE,00+,2024-10-17,2024-10-27,2,quantile,0.75,1399477.625
DE,00+,2024-10-17,2024-10-27,2,quantile,0.9,1658482.8
DE,00+,2024-10-17,2024-10-27,2,quantile,0.975,1979427.1675000004
DE,00+,2024-10-17,2024-11-03,3,quantile,0.025,590043.425
DE,00+,2024-10-17,2024-11-03,3,quantile,0.1,755893.1
DE,00+,2024-10-17,2024-11-03,3,quantile,0.25,931635.5
DE,00+,2024-10-17,2024-11-03,3,quantile,0.5,1157786.45
DE,00+,2024-10-17,2024-11-03,3,quantile,0.75,1418407.875
DE,00+,2024-10-17,2024-11-03,3,quantile,0.9,1683474.52
DE,00+,2024-10-17,2024-11-03,3,quantile,0.975,2015763.36
DE,00+,2024-10-17,2024-11-10,4,quantile,0.025,545869.77
DE,00+,2024-10-17,2024-11-10,4,quantile,0.1,700530.47
DE,00+,2024-10-17,2024-11-10,4,quantile,0.25,862747.4
DE,00+,2024-10-17,2024-11-10,4,quantile,0.5,1073954.4
DE,00+,2024-10-17,2024-11-10,4,quantile,0.75,1315815.625
DE,00+,2024-10-17,2024-11-10,4,quantile,0.9,1565090.27
DE,00+,2024-10-17,2024-11-10,4,quantile,0.975,1874262.0550000004
DE,00-04,2024-10-17,2024-10-20,1,quantile,0.025,84757.0675
DE,00-04,2024-10-17,2024-10-20,1,quantile,0.1,113394.15
DE,00-04,2024-10-17,2024-10-20,1,quantile,0.25,144391.975
DE,00-04,2024-10-17,2024-10-20,1,quantile,0.5,185158.0
DE,00-04,2024-10-17,2024-10-20,1,quantile,0.75,233045.3
DE,00-04,2024-10-17,2024-10-20,1,quantile,0.9,282497.25
DE,00-04,2024-10-17,2024-10-20,1,quantile,0.975,345052.5625000001
DE,00-04,2024-10-17,2024-10-27,2,quantile,0.025,85624.875
DE,00-04,2024-10-17,2024-10-27,2,quantile,0.1,114577.53
DE,00-04,2024-10-17,2024-10-27,2,quantile,0.25,145784.8
DE,00-04,2024-10-17,2024-10-27,2,quantile,0.5,186741.3
DE,00-04,2024-10-17,2024-10-27,2,quantile,0.75,235112.4
DE,00-04,2024-10-17,2024-10-27,2,quantile,0.9,284890.39
DE,00-04,2024-10-17,2024-10-27,2,quantile,0.975,347678.56750000006
DE,00-04,2024-10-17,2024-11-03,3,quantile,0.025,85540.9675
DE,00-04,2024-10-17,2024-11-03,3,quantile,0.1,114704.51000000001
DE,00-04,2024-10-17,2024-11-03,3,quantile,0.25,146096.525
DE,00-04,2024-10-17,2024-11-03,3,quantile,0.5,187646.5
DE,00-04,2024-10-17,2024-11-03,3,quantile,0.75,236477.575
DE,00-04,2024-10-17,2024-11-03,3,quantile,0.9,287163.24999999994
DE,00-04,2024-10-17,2024-11-03,3,quantile,0.975,351091.43250000005
DE,00-04,2024-10-17,2024-11-10,4,quantile,0.025,80009.11750000001
DE,00-04,2024-10-17,2024-11-10,4,quantile,0.1,107441.51000000001
DE,00-04,2024-10-17,2024-11-10,4,quantile,0.25,137223.85
DE,00-04,2024-10-17,2024-11-10,4,quantile,0.5,176461.3
DE,00-04,2024-10-17,2024-11-10,4,quantile,0.75,222494.725
DE,00-04,2024-10-17,2024-11-10,4,quantile,0.9,270290.51999999996
DE,00-04,2024-10-17,2024-11-10,4,quantile,0.975,331372.3500000001
DE,05-14,2024-10-17,2024-10-20,1,quantile,0.025,53149.06999999999
DE,05-14,2024-10-17,2024-10-20,1,quantile,0.1,75166.92
DE,05-14,2024-10-17,2024-10-20,1,quantile,0.25,99822.075
DE,05-14,2024-10-17,2024-10-20,1,quantile,0.5,133338.4
DE,05-14,2024-10-17,2024-10-20,1,quantile,0.75,173771.35
DE,05-14,2024-10-17,2024-10-20,1,quantile,0.9,216484.53999999998
DE,05-14,2024-10-17,2024-10-20,1,quantile,0.975,271441.505
DE,05-14,2024-10-17,2024-10-27,2,quantile,0.025,52717.655000000006
DE,05-14,2024-10-17,2024-10-27,2,quantile,0.1,74984.23000000001
DE,05-14,2024-10-17,2024-10-27,2,quantile,0.25,99683.4
DE,05-14,2024-10-17,2024-10-27,2,quantile,0.5,133241.85
DE,05-14,2024-10-17,2024-10-27,2,quantile,0.75,173742.225
DE,05-14,2024-10-17,2024-10-27,2,quantile,0.9,216826.59999999995
DE,05-14,2024-10-17,2024-10-27,2,quantile,0.975,272041.4600000001
DE,05-14,2024-10-17,2024-11-03,3,quantile,0.025,53379.567500000005
DE,05-14,2024-10-17,2024-11-03,3,quantile,0.1,75889.5
DE,05-14,2024-10-17,2024-11-03,3,quantile,0.25,101111.45
DE,05-14,2024-10-17,2024-11-03,3,quantile,0.5,135539.0
DE,05-14,2024-10-17,2024-11-03,3,quantile,0.75,177046.525
DE,05-14,2024-10-17,2024-11-03,3,quantile,0.9,220678.25
DE,05-14,2024-10-17,2024-11-03,3,quantile,0.975,276698.6550000001
DE,05-14,2024-10-17,2024-11-10,4,quantile,0.025,49560.409999999996
DE,05-14,2024-10-17,2024-11-10,4,quantile,0.1,70773.24
DE,05-14,2024-10-17,2024-11-10,4,quantile,0.25,94467.225
DE,05-14,2024-10-17,2024-11-10,4,quantile,0.5,126461.65
DE,05-14,2024-10-17,2024-11-10,4,quantile,0.75,165228.3
DE,05-14,2024-10-17,2024-11-10,4,quantile,0.9,206188.44
DE,05-14,2024-10-17,2024-11-10,4,quantile,0.975,258887.36000000004
DE,15-34,2024-10-17,2024-10-20,1,quantile,0.025,147266.51750000002
DE,15-34,2024-10-17,2024-10-20,1,quantile,0.1,196140.02
DE,15-34,2024-10-17,2024-10-20,1,quantile,0.25,248663.15
DE,15-34,2024-10-17,2024-10-20,1,quantile,0.5,318191.9
DE,15-34,2024-10-17,2024-10-20,1,quantile,0.75,399577.725
DE,15-34,2024-10-17,2024-10-20,1,quantile,0.9,482973.2199999999
DE,15-34,2024-10-17,2024-10-20,1,quantile,0.975,588381.8300000001
DE,15-34,2024-10-17,2024-10-27,2,quantile,0.025,147288.76499999998
DE,15-34,2024-10-17,2024-10-27,2,quantile,0.1,196617.15
DE,15-34,2024-10-17,2024-10-27,2,quantile,0.25,249522.15
DE,15-34,2024-10-17,2024-10-27,2,quantile,0.5,319097.9
DE,15-34,2024-10-17,2024-10-27,2,quantile,0.75,400661.825
DE,15-34,2024-10-17,2024-10-27,2,quantile,0.9,484923.38
DE,15-34,2024-10-17,2024-10-27,2,quantile,0.975,592875.8300000001
DE,15-34,2024-10-17,2024-11-03,3,quantile,0.025,149388.86000000002
DE,15-34,2024-10-17,2024-11-03,3,quantile,0.1,199259.3
DE,15-34,2024-10-17,2024-11-03,3,quantile,0.25,253001.175
DE,15-34,2024-10-17,2024-11-03,3,quantile,0.5,323603.05
DE,15-34,2024-10-17,2024-11-03,3,quantile,0.75,406480.6
DE,15-34,2024-10-17,2024-11-03,3,quantile,0.9,492324.86999999994
DE,15-34,2024-10-17,2024-11-03,3,quantile,0.975,601310.5175000001
DE,15-34,2024-10-17,2024-11-10,4,quantile,0.025,137576.01499999998
DE,15-34,2024-10-17,2024-11-10,4,quantile,0.1,184440.16
DE,15-34,2024-10-17,2024-11-10,4,quantile,0.25,234806.775
DE,15-34,2024-10-17,2024-11-10,4,quantile,0.5,301147.05
DE,15-34,2024-10-17,2024-11-10,4,quantile,0.75,378895.8
DE,15-34,2024-10-17,2024-11-10,4,quantile,0.9,458954.72000000003
DE,15-34,2024-10-17,2024-11-10,4,quantile,0.975,561766.2875000001
DE,35-59,2024-10-17,2024-10-20,1,quantile,0.025,174028.6875
DE,35-59,2024-10-17,2024-10-20,1,quantile,0.1,231715.99
DE,35-59,2024-10-17,2024-10-20,1,quantile,0.25,293363.2
DE,35-59,2024-10-17,2024-10-20,1,quantile,0.5,374530.1
DE,35-59,2024-10-17,2024-10-20,1,quantile,0.75,469328.35
DE,35-59,2024-10-17,2024-10-20,1,quantile,0.9,567308.9199999999
DE,35-59,2024-10-17,2024-10-20,1,quantile,0.975,690977.3900000001
DE,35-59,2024-10-17,2024-10-27,2,quantile,0.025,175064.27250000002
DE,35-59,2024-10-17,2024-10-27,2,quantile,0.1,232933.45
DE,35-59,2024-10-17,2024-10-27,2,quantile,0.25,294672.6
DE,35-59,2024-10-17,2024-10-27,2,quantile,0.5,376252.15
DE,35-59,2024-10-17,2024-10-27,2,quantile,0.75,471883.625
DE,35-59,2024-10-17,2024-10-27,2,quantile,0.9,571089.3
DE,35-59,2024-10-17,2024-10-27,2,quantile,0.975,697457.2125000001
DE,35-59,2024-10-17,2024-11-03,3,quantile,0.025,175454.095
DE,35-59,2024-10-17,2024-11-03,3,quantile,0.1,234276.76
DE,35-59,2024-10-17,2024-11-03,3,quantile,0.25,297381.35
DE,35-59,2024-10-17,2024-11-03,3,quantile,0.5,380786.65
DE,35-59,2024-10-17,2024-11-03,3,quantile,0.75,478329.85
DE,35-59,2024-10-17,2024-11-03,3,quantile,0.9,580649.9099999999
DE,35-59,2024-10-17,2024-11-03,3,quantile,0.975,707683.7875000001
DE,35-59,2024-10-17,2024-11-10,4,quantile,0.025,161445.3
DE,35-59,2024-10-17,2024-11-10,4,quantile,0.1,216041.08
DE,35-59,2024-10-17,2024-11-10,4,quantile,0.25,274637.1
DE,35-59,2024-10-17,2024-11-10,4,quantile,0.5,351928.3
DE,35-59,2024-10-17,2024-11-10,4,quantile,0.75,443082.775
DE,35-59,2024-10-17,2024-11-10,4,quantile,0.9,536887.59
DE,35-59,2024-10-17,2024-11-10,4,quantile,0.975,655551.6425000002
DE,60+,2024-10-17,2024-10-20,1,quantile,0.025,63613.652500000004
DE,60+,2024-10-17,2024-10-20,1,quantile,0.1,83633.45999999999
DE,60+,2024-10-17,2024-10-20,1,quantile,0.25,105194.625
DE,60+,2024-10-17,2024-10-20,1,quantile,0.5,133242.0
DE,60+,2024-10-17,2024-10-20,1,quantile,0.75,165838.6
DE,60+,2024-10-17,2024-10-20,1,quantile,0.9,199302.9
DE,60+,2024-10-17,2024-10-20,1,quantile,0.975,241602.45250000004
DE,60+,2024-10-17,2024-10-27,2,quantile,0.025,62865.5825
DE,60+,2024-10-17,2024-10-27,2,quantile,0.1,82794.84
DE,60+,2024-10-17,2024-10-27,2,quantile,0.25,104330.8
DE,60+,2024-10-17,2024-10-27,2,quantile,0.5,132121.85
DE,60+,2024-10-17,2024-10-27,2,quantile,0.75,164838.35
DE,60+,2024-10-17,2024-10-27,2,quantile,0.9,198185.59999999998
DE,60+,2024-10-17,2024-10-27,2,quantile,0.975,240428.38750000004
