location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-10-17,2024-10-20,1,quantile,0.025,1062800
DE,00+,2024-10-17,2024-10-20,1,quantile,0.1,1199200
DE,00+,2024-10-17,2024-10-20,1,quantile,0.25,1331100
DE,00+,2024-10-17,2024-10-20,1,quantile,0.5,1488900
DE,00+,2024-10-17,2024-10-20,1,quantile,0.75,1659000
DE,00+,2024-10-17,2024-10-20,1,quantile,0.9,1822900
DE,00+,2024-10-17,2024-10-20,1,quantile,0.975,2018600
DE,00+,2024-10-17,2024-10-20,1,mean,NA,1502434.27038633
DE,00+,2024-10-17,2024-10-27,2,quantile,0.025,1028900
DE,00+,2024-10-17,2024-10-27,2,quantile,0.1,1191500
DE,00+,2024-10-17,2024-10-27,2,quantile,0.25,1351200
DE,00+,2024-10-17,2024-10-27,2,quantile,0.5,1545200
DE,00+,2024-10-17,2024-10-27,2,quantile,0.75,1757200
DE,00+,2024-10-17,2024-10-27,2,quantile,0.9,1964000
DE,00+,2024-10-17,2024-10-27,2,quantile,0.975,2213500
DE,00+,2024-10-17,2024-10-27,2,mean,NA,1565047.6140067
DE,00+,2024-10-17,2024-11-03,3,quantile,0.025,994500
DE,00+,2024-10-17,2024-11-03,3,quantile,0.1,1178800
DE,00+,2024-10-17,2024-11-03,3,quantile,0.25,1362700
DE,00+,2024-10-17,2024-11-03,3,quantile,0.5,1588900
DE,00+,2024-10-17,2024-11-03,3,quantile,0.75,1839200
DE,00+,2024-10-17,2024-11-03,3,quantile,0.9,2085800
DE,00+,2024-10-17,2024-11-03,3,quantile,0.975,2386300
DE,00+,2024-10-17,2024-11-03,3,mean,NA,1615360.76738207
DE,00+,2024-10-17,2024-11-10,4,quantile,0.025,957700
DE,00+,2024-10-17,2024-11-10,4,quantile,0.1,1160100
DE,00+,2024-10-17,2024-11-10,4,quantile,0.25,1364700
DE,00+,2024-10-17,2024-11-10,4,quantile,0.5,1619500
DE,00+,2024-10-17,2024-11-10,4,quantile,0.75,1904600
DE,00+,2024-10-17,2024-11-10,4,quantile,0.9,2188100
DE,00+,2024-10-17,2024-11-10,4,quantile,0.975,2536400
DE,00+,2024-10-17,2024-11-10,4,mean,NA,1652795.35835102
DE,00+,2024-10-24,2024-10-27,1,quantile,0.025,1089600
DE,00+,2024-10-24,2024-10-27,1,quantile,0.1,1229500
DE,00+,2024-10-24,2024-10-27,1,quantile,0.25,1364900
DE,00+,2024-10-24,2024-10-27,1,quantile,0.5,1526900
DE,00+,2024-10-24,2024-10-27,1,quantile,0.75,1701500
DE,00+,2024-10-24,2024-10-27,1,quantile,0.9,1869900
DE,00+,2024-10-24,2024-10-27,1,quantile,0.975,2070900
DE,00+,2024-10-24,2024-10-27,1,mean,NA,1540821.72675169
DE,00+,2024-10-24,2024-11-03,2,quantile,0.025,1045700
DE,00+,2024-10-24,2024-11-03,2,quantile,0.1,1210600
DE,00+,2024-10-24,2024-11-03,2,quantile,0.25,1372700
DE,00+,2024-10-24,2024-11-03,2,quantile,0.5,1569600
DE,00+,2024-10-24,2024-11-03,2,quantile,0.75,1784800
DE,00+,2024-10-24,2024-11-03,2,quantile,0.9,1994800
DE,00+,2024-10-24,2024-11-03,2,quantile,0.975,2248300
DE,00+,2024-10-24,2024-11-03,2,mean,NA,1589808.36502459
DE,00+,2024-10-24,2024-11-10,3,quantile,0.025,1002300
DE,00+,2024-10-24,2024-11-10,3,quantile,0.1,1187600
DE,00+,2024-10-24,2024-11-10,3,quantile,0.25,1372300
DE,00+,2024-10-24,2024-11-10,3,quantile,0.5,1599500
DE,00+,2024-10-24,2024-11-10,3,quantile,0.75,1850900
DE,00+,2024-10-24,2024-11-10,3,quantile,0.9,2098700
DE,00+,2024-10-24,2024-11-10,3,quantile,0.975,2400700
DE,00+,2024-10-24,2024-11-10,3,mean,NA,1626102.26804473
DE,00+,2024-10-24,2024-11-17,4,quantile,0.025,957900
DE,00+,2024-10-24,2024-11-17,4,quantile,0.1,1159300
DE,00+,2024-10-24,2024-11-17,4,quantile,0.25,1362800
DE,00+,2024-10-24,2024-11-17,4,quantile,0.5,1616200
DE,00+,2024-10-24,2024-11-17,4,quantile,0.75,1899600
DE,00+,2024-10-24,2024-11-17,4,quantile,0.9,2181500
DE,00+,2024-10-24,2024-11-17,4,quantile,0.975,2527700
DE,00+,2024-10-24,2024-11-17,4,mean,NA,1649215.17413515
DE,00+,2024-10-31,2024-11-03,1,quantile,0.025,1010700
DE,00+,2024-10-31,2024-11-03,1,quantile,0.1,1140800
DE,00+,2024-10-31,2024-11-03,1,quantile,0.25,1266700
DE,00+,2024-10-31,2024-11-03,1,quantile,0.5,1417500
DE,00+,2024-10-31,2024-11-03,1,quantile,0.75,1580200
DE,00+,2024-10-31,2024-11-03,1,quantile,0.9,1737100
DE,00+,2024-10-31,2024-11-03,1,quantile,0.975,1924500
