"","location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"1","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.025,1062800
"2","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.1,1199200
"3","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.25,1331100
"4","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.5,1488900
"5","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.75,1659000
"6","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.9,1822900
"7","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.975,2018600
"8","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.025,1028900
"9","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.1,1191500
"10","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.25,1351200
"11","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.5,1545200
"12","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.75,1757200
"13","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.9,1964000
"14","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.975,2213500
"15","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.025,994500
"16","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.1,1178800
"17","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.25,1362700
"18","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.5,1588900
"19","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.75,1839200
"20","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.9,2085800
"21","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.975,2386300
"22","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.025,957700
"23","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.1,1160100
"24","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.25,1364700
"25","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.5,1619500
"26","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.75,1904600
"27","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.9,2188100
"28","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.975,2536400
"29","DE","00+",2024-10-24,2024-10-27,1,"quantile",0.025,1089600
"30","DE","00+",2024-10-24,2024-10-27,1,"quantile",0.1,1229500
"31","DE","00+",2024-10-24,2024-10-27,1,"quantile",0.25,1364900
"32","DE","00+",2024-10-24,2024-10-27,1,"quantile",0.5,1526900
"33","DE","00+",2024-10-24,2024-10-27,1,"quantile",0.75,1701500
"34","DE","00+",2024-10-24,2024-10-27,1,"quantile",0.9,1869900
"35","DE","00+",2024-10-24,2024-10-27,1,"quantile",0.975,2070900
"36","DE","00+",2024-10-24,2024-11-03,2,"quantile",0.025,1045700
"37","DE","00+",2024-10-24,2024-11-03,2,"quantile",0.1,1210600
"38","DE","00+",2024-10-24,2024-11-03,2,"quantile",0.25,1372700
"39","DE","00+",2024-10-24,2024-11-03,2,"quantile",0.5,1569600
"40","DE","00+",2024-10-24,2024-11-03,2,"quantile",0.75,1784800
"41","DE","00+",2024-10-24,2024-11-03,2,"quantile",0.9,1994800
"42","DE","00+",2024-10-24,2024-11-03,2,"quantile",0.975,2248300
"43","DE","00+",2024-10-24,2024-11-10,3,"quantile",0.025,1002300
"44","DE","00+",2024-10-24,2024-11-10,3,"quantile",0.1,1187600
"45","DE","00+",2024-10-24,2024-11-10,3,"quantile",0.25,1372300
"46","DE","00+",2024-10-24,2024-11-10,3,"quantile",0.5,1599500
"47","DE","00+",2024-10-24,2024-11-10,3,"quantile",0.75,1850900
"48","DE","00+",2024-10-24,2024-11-10,3,"quantile",0.9,2098700
"49","DE","00+",2024-10-24,2024-11-10,3,"quantile",0.975,2400700
"50","DE","00+",2024-10-24,2024-11-17,4,"quantile",0.025,957900
"51","DE","00+",2024-10-24,2024-11-17,4,"quantile",0.1,1159300
"52","DE","00+",2024-10-24,2024-11-17,4,"quantile",0.25,1362800
"53","DE","00+",2024-10-24,2024-11-17,4,"quantile",0.5,1616200
"54","DE","00+",2024-10-24,2024-11-17,4,"quantile",0.75,1899600
"55","DE","00+",2024-10-24,2024-11-17,4,"quantile",0.9,2181500
"56","DE","00+",2024-10-24,2024-11-17,4,"quantile",0.975,2527700
"57","DE","00+",2024-10-31,2024-11-03,1,"quantile",0.025,1010700
"58","DE","00+",2024-10-31,2024-11-03,1,"quantile",0.1,1140800
"59","DE","00+",2024-10-31,2024-11-03,1,"quantile",0.25,1266700
"60","DE","00+",2024-10-31,2024-11-03,1,"quantile",0.5,1417500
"61","DE","00+",2024-10-31,2024-11-03,1,"quantile",0.75,1580200
"62","DE","00+",2024-10-31,2024-11-03,1,"quantile",0.9,1737100
"63","DE","00+",2024-10-31,2024-11-03,1,"quantile",0.975,1924500
"64","DE","00+",2024-10-31,2024-11-10,2,"quantile",0.025,960600
"65","DE","00+",2024-10-31,2024-11-10,2,"quantile",0.1,1112100
"66","DE","00+",2024-10-31,2024-11-10,2,"quantile",0.25,1261100
"67","DE","00+",2024-10-31,2024-11-10,2,"quantile",0.5,1442100
"68","DE","00+",2024-10-31,2024-11-10,2,"quantile",0.75,1640000
"69","DE","00+",2024-10-31,2024-11-10,2,"quantile",0.9,1833100
"70","DE","00+",2024-10-31,2024-11-10,2,"quantile",0.975,2066400
"71","DE","00+",2024-10-31,2024-11-17,3,"quantile",0.025,912400
"72","DE","00+",2024-10-31,2024-11-17,3,"quantile",0.1,1080600
"73","DE","00+",2024-10-31,2024-11-17,3,"quantile",0.25,1248400
"74","DE","00+",2024-10-31,2024-11-17,3,"quantile",0.5,1454800
"75","DE","00+",2024-10-31,2024-11-17,3,"quantile",0.75,1683200
"76","DE","00+",2024-10-31,2024-11-17,3,"quantile",0.9,1908300
"77","DE","00+",2024-10-31,2024-11-17,3,"quantile",0.975,2182800
"78","DE","00+",2024-10-31,2024-11-24,4,"quantile",0.025,862900
"79","DE","00+",2024-10-31,2024-11-24,4,"quantile",0.1,1043600
"80","DE","00+",2024-10-31,2024-11-24,4,"quantile",0.25,1226200
"81","DE","00+",2024-10-31,2024-11-24,4,"quantile",0.5,1453500
"82","DE","00+",2024-10-31,2024-11-24,4,"quantile",0.75,1707800
"83","DE","00+",2024-10-31,2024-11-24,4,"quantile",0.9,1960700
"84","DE","00+",2024-10-31,2024-11-24,4,"quantile",0.975,2271400
"85","DE","00+",2024-11-07,2024-11-10,1,"quantile",0.025,855100
"86","DE","00+",2024-11-07,2024-11-10,1,"quantile",0.1,966400
"87","DE","00+",2024-11-07,2024-11-10,1,"quantile",0.25,1074400
"88","DE","00+",2024-11-07,2024-11-10,1,"quantile",0.5,1203900
"89","DE","00+",2024-11-07,2024-11-10,1,"quantile",0.75,1343900
"90","DE","00+",2024-11-07,2024-11-10,1,"quantile",0.9,1479100
"91","DE","00+",2024-11-07,2024-11-10,1,"quantile",0.975,1641000
"92","DE","00+",2024-11-07,2024-11-17,2,"quantile",0.025,804300
"93","DE","00+",2024-11-07,2024-11-17,2,"quantile",0.1,932000
"94","DE","00+",2024-11-07,2024-11-17,2,"quantile",0.25,1057700
