"","location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"1","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.025,1016100
"2","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.1,1166600
"3","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.25,1313600
"4","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.5,1491200
"5","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.75,1684500
"6","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.9,1872100
"7","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.975,2097800
"8","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.025,972800
"9","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.1,1150600
"10","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.25,1327600
"11","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.5,1545200
"12","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.75,1785500
"13","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.9,2022100
"14","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.975,2310100
"15","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.025,936700
"16","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.1,1138800
"17","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.25,1343600
"18","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.5,1599100
"19","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.75,1885400
"20","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.9,2170600
"21","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.975,2521300
"22","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.025,907000
"23","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.1,1131800
"24","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.25,1363300
"25","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.5,1656300
"26","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.75,1988900
"27","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.9,2323700
"28","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.975,2739300
"29","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.025,91600
"30","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.1,113100
"31","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.25,136400
"32","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.5,164900
"33","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.75,196400
"34","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.9,227300
"35","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.975,264200
"36","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.025,93100
"37","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.1,116700
"38","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.25,142300
"39","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.5,174700
"40","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.75,211200
"41","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.9,247900
"42","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.975,292900
"43","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.025,94700
"44","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.1,120400
"45","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.25,148600
"46","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.5,185000
"47","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.75,227000
"48","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.9,269800
"49","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.975,323200
"50","DE","00-04",2024-10-17,2024-11-10,4,"quantile",0.025,96200
"51","DE","00-04",2024-10-17,2024-11-10,4,"quantile",0.1,124200
"52","DE","00-04",2024-10-17,2024-11-10,4,"quantile",0.25,155200
"53","DE","00-04",2024-10-17,2024-11-10,4,"quantile",0.5,195900
"54","DE","00-04",2024-10-17,2024-11-10,4,"quantile",0.75,243700
"55","DE","00-04",2024-10-17,2024-11-10,4,"quantile",0.9,293000
"56","DE","00-04",2024-10-17,2024-11-10,4,"quantile",0.975,355500
"57","DE","05-14",2024-10-17,2024-10-20,1,"quantile",0.025,77800
"58","DE","05-14",2024-10-17,2024-10-20,1,"quantile",0.1,100100
"59","DE","05-14",2024-10-17,2024-10-20,1,"quantile",0.25,124800
"60","DE","05-14",2024-10-17,2024-10-20,1,"quantile",0.5,156900
"61","DE","05-14",2024-10-17,2024-10-20,1,"quantile",0.75,194200
"62","DE","05-14",2024-10-17,2024-10-20,1,"quantile",0.9,232300
"63","DE","05-14",2024-10-17,2024-10-20,1,"quantile",0.975,280100
"64","DE","05-14",2024-10-17,2024-10-27,2,"quantile",0.025,76500
"65","DE","05-14",2024-10-17,2024-10-27,2,"quantile",0.1,101500
"66","DE","05-14",2024-10-17,2024-10-27,2,"quantile",0.25,129600
"67","DE","05-14",2024-10-17,2024-10-27,2,"quantile",0.5,167300
"68","DE","05-14",2024-10-17,2024-10-27,2,"quantile",0.75,212300
"69","DE","05-14",2024-10-17,2024-10-27,2,"quantile",0.9,259600
"70","DE","05-14",2024-10-17,2024-10-27,2,"quantile",0.975,320300
"71","DE","05-14",2024-10-17,2024-11-03,3,"quantile",0.025,75300
"72","DE","05-14",2024-10-17,2024-11-03,3,"quantile",0.1,103100
"73","DE","05-14",2024-10-17,2024-11-03,3,"quantile",0.25,134800
"74","DE","05-14",2024-10-17,2024-11-03,3,"quantile",0.5,178500
"75","DE","05-14",2024-10-17,2024-11-03,3,"quantile",0.75,231900
"76","DE","05-14",2024-10-17,2024-11-03,3,"quantile",0.9,289100
"77","DE","05-14",2024-10-17,2024-11-03,3,"quantile",0.975,363900
"78","DE","05-14",2024-10-17,2024-11-10,4,"quantile",0.025,74100
"79","DE","05-14",2024-10-17,2024-11-10,4,"quantile",0.1,104800
"80","DE","05-14",2024-10-17,2024-11-10,4,"quantile",0.25,140400
"81","DE","05-14",2024-10-17,2024-11-10,4,"quantile",0.5,190500
"82","DE","05-14",2024-10-17,2024-11-10,4,"quantile",0.75,253000
"83","DE","05-14",2024-10-17,2024-11-10,4,"quantile",0.9,321100
"84","DE","05-14",2024-10-17,2024-11-10,4,"quantile",0.975,411500
"85","DE","15-34",2024-10-17,2024-10-20,1,"quantile",0.025,288700
"86","DE","15-34",2024-10-17,2024-10-20,1,"quantile",0.1,344500
"87","DE","15-34",2024-10-17,2024-10-20,1,"quantile",0.25,400800
"88","DE","15-34",2024-10-17,2024-10-20,1,"quantile",0.5,470900
"89","DE","15-34",2024-10-17,2024-10-20,1,"quantile",0.75,549500
"90","DE","15-34",2024-10-17,2024-10-20,1,"quantile",0.9,628000
"91","DE","15-34",2024-10-17,2024-10-20,1,"quantile",0.975,724700
"92","DE","15-34",2024-10-17,2024-10-27,2,"quantile",0.025,279600
"93","DE","15-34",2024-10-17,2024-10-27,2,"quantile",0.1,347000
"94","DE","15-34",2024-10-17,2024-10-27,2,"quantile",0.25,416500
"95","DE","15-34",2024-10-17,2024-10-27,2,"quantile",0.5,505000
"96","DE","15-34",2024-10-17,2024-10-27,2,"quantile",0.75,606100
"97","DE","15-34",2024-10-17,2024-10-27,2,"quantile",0.9,708600
"98","DE","15-34",2024-10-17,2024-10-27,2,"quantile",0.975,836900
"99","DE","15-34",2024-10-17,2024-11-03,3,"quantile",0.025,272600
"100","DE","15-34",2024-10-17,2024-11-03,3,"quantile",0.1,350900
"101","DE","15-34",2024-10-17,2024-11-03,3,"quantile",0.25,433600
"102","DE","15-34",2024-10-17,2024-11-03,3,"quantile",0.5,540800
"103","DE","15-34",2024-10-17,2024-11-03,3,"quantile",0.75,665500
"104","DE","15-34",2024-10-17,2024-11-03,3,"quantile",0.9,793700
"105","DE","15-34",2024-10-17,2024-11-03,3,"quantile",0.975,956100
"106","DE","15-34",2024-10-17,2024-11-10,4,"quantile",0.025,266600
"107","DE","15-34",2024-10-17,2024-11-10,4,"quantile",0.1,355600
"108","DE","15-34",2024-10-17,2024-11-10,4,"quantile",0.25,451600
"109","DE","15-34",2024-10-17,2024-11-10,4,"quantile",0.5,578400
"110","DE","15-34",2024-10-17,2024-11-10,4,"quantile",0.75,728000
"111","DE","15-34",2024-10-17,2024-11-10,4,"quantile",0.9,884000
"112","DE","15-34",2024-10-17,2024-11-10,4,"quantile",0.975,1083700
"113","DE","35-59",2024-10-17,2024-10-20,1,"quantile",0.025,351300
"114","DE","35-59",2024-10-17,2024-10-20,1,"quantile",0.1,416000
"115","DE","35-59",2024-10-17,2024-10-20,1,"quantile",0.25,480800
"116","DE","35-59",2024-10-17,2024-10-20,1,"quantile",0.5,561000
"117","DE","35-59",2024-10-17,2024-10-20,1,"quantile",0.75,650500
"118","DE","35-59",2024-10-17,2024-10-20,1,"quantile",0.9,739200
"119","DE","35-59",2024-10-17,2024-10-20,1,"quantile",0.975,848100
"120","DE","35-59",2024-10-17,2024-10-27,2,"quantile",0.025,347500
"121","DE","35-59",2024-10-17,2024-10-27,2,"quantile",0.1,427500
"122","DE","35-59",2024-10-17,2024-10-27,2,"quantile",0.25,509600
"123","DE","35-59",2024-10-17,2024-10-27,2,"quantile",0.5,613400
"124","DE","35-59",2024-10-17,2024-10-27,2,"quantile",0.75,731200
"125","DE","35-59",2024-10-17,2024-10-27,2,"quantile",0.9,850000
"126","DE","35-59",2024-10-17,2024-10-27,2,"quantile",0.975,997800
"127","DE","35-59",2024-10-17,2024-11-03,3,"quantile",0.025,346100
"128","DE","35-59",2024-10-17,2024-11-03,3,"quantile",0.1,441400
"129","DE","35-59",2024-10-17,2024-11-03,3,"quantile",0.25,541300
"130","DE","35-59",2024-10-17,2024-11-03,3,"quantile",0.5,669900
"131","DE","35-59",2024-10-17,2024-11-03,3,"quantile",0.75,818400
"132","DE","35-59",2024-10-17,2024-11-03,3,"quantile",0.9,970300
"133","DE","35-59",2024-10-17,2024-11-03,3,"quantile",0.975,1161600
"134","DE","35-59",2024-10-17,2024-11-10,4,"quantile",0.025,346200
"135","DE","35-59",2024-10-17,2024-11-10,4,"quantile",0.1,456900
"136","DE","35-59",2024-10-17,2024-11-10,4,"quantile",0.25,575400
"137","DE","35-59",2024-10-17,2024-11-10,4,"quantile",0.5,730800
"138","DE","35-59",2024-10-17,2024-11-10,4,"quantile",0.75,913000
"139","DE","35-59",2024-10-17,2024-11-10,4,"quantile",0.9,1101600
"140","DE","35-59",2024-10-17,2024-11-10,4,"quantile",0.975,1341900
"141","DE","60+",2024-10-17,2024-10-20,1,"quantile",0.025,107000
"142","DE","60+",2024-10-17,2024-10-20,1,"quantile",0.1,131700
"143","DE","60+",2024-10-17,2024-10-20,1,"quantile",0.25,158100
"144","DE","60+",2024-10-17,2024-10-20,1,"quantile",0.5,192000
"145","DE","60+",2024-10-17,2024-10-20,1,"quantile",0.75,230500
"146","DE","60+",2024-10-17,2024-10-20,1,"quantile",0.9,269300
"147","DE","60+",2024-10-17,2024-10-20,1,"quantile",0.975,317200
"148","DE","60+",2024-10-17,2024-10-27,2,"quantile",0.025,108600
"149","DE","60+",2024-10-17,2024-10-27,2,"quantile",0.1,137200
"150","DE","60+",2024-10-17,2024-10-27,2,"quantile",0.25,168100
"151","DE","60+",2024-10-17,2024-10-27,2,"quantile",0.5,208800
"152","DE","60+",2024-10-17,2024-10-27,2,"quantile",0.75,256300
"153","DE","60+",2024-10-17,2024-10-27,2,"quantile",0.9,305200
"154","DE","60+",2024-10-17,2024-10-27,2,"quantile",0.975,366900
"155","DE","60+",2024-10-17,2024-11-03,3,"quantile",0.025,110300
"156","DE","60+",2024-10-17,2024-11-03,3,"quantile",0.1,143100
"157","DE","60+",2024-10-17,2024-11-03,3,"quantile",0.25,179200
"158","DE","60+",2024-10-17,2024-11-03,3,"quantile",0.5,227300
"159","DE","60+",2024-10-17,2024-11-03,3,"quantile",0.75,284600
"160","DE","60+",2024-10-17,2024-11-03,3,"quantile",0.9,344700
"161","DE","60+",2024-10-17,2024-11-03,3,"quantile",0.975,421900
"162","DE","60+",2024-10-17,2024-11-10,4,"quantile",0.025,112300
"163","DE","60+",2024-10-17,2024-11-10,4,"quantile",0.1,149600
"164","DE","60+",2024-10-17,2024-11-10,4,"quantile",0.25,191100
"165","DE","60+",2024-10-17,2024-11-10,4,"quantile",0.5,247400
"166","DE","60+",2024-10-17,2024-11-10,4,"quantile",0.75,315700
"167","DE","60+",2024-10-17,2024-11-10,4,"quantile",0.9,388300
"168","DE","60+",2024-10-17,2024-11-10,4,"quantile",0.975,482700
"169","DE","00+",2024-10-24,2024-10-27,1,"quantile",0.025,1038900
"170","DE","00+",2024-10-24,2024-10-27,1,"quantile",0.1,1192600
"171","DE","00+",2024-10-24,2024-10-27,1,"quantile",0.25,1343000
"172","DE","00+",2024-10-24,2024-10-27,1,"quantile",0.5,1524700
"173","DE","00+",2024-10-24,2024-10-27,1,"quantile",0.75,1722400
"174","DE","00+",2024-10-24,2024-10-27,1,"quantile",0.9,1914500
"175","DE","00+",2024-10-24,2024-10-27,1,"quantile",0.975,2145600
"176","DE","00+",2024-10-24,2024-11-03,2,"quantile",0.025,992900
"177","DE","00+",2024-10-24,2024-11-03,2,"quantile",0.1,1174500
"178","DE","00+",2024-10-24,2024-11-03,2,"quantile",0.25,1355400
"179","DE","00+",2024-10-24,2024-11-03,2,"quantile",0.5,1577700
"180","DE","00+",2024-10-24,2024-11-03,2,"quantile",0.75,1823500
"181","DE","00+",2024-10-24,2024-11-03,2,"quantile",0.9,2065600
"182","DE","00+",2024-10-24,2024-11-03,2,"quantile",0.975,2360300
"183","DE","00+",2024-10-24,2024-11-10,3,"quantile",0.025,956900
"184","DE","00+",2024-10-24,2024-11-10,3,"quantile",0.1,1163500
"185","DE","00+",2024-10-24,2024-11-10,3,"quantile",0.25,1372800
"186","DE","00+",2024-10-24,2024-11-10,3,"quantile",0.5,1634100
"187","DE","00+",2024-10-24,2024-11-10,3,"quantile",0.75,1926900
"188","DE","00+",2024-10-24,2024-11-10,3,"quantile",0.9,2218800
"189","DE","00+",2024-10-24,2024-11-10,3,"quantile",0.975,2577800
"190","DE","00+",2024-10-24,2024-11-17,4,"quantile",0.025,927600
"191","DE","00+",2024-10-24,2024-11-17,4,"quantile",0.1,1157400
"192","DE","00+",2024-10-24,2024-11-17,4,"quantile",0.25,1394100
"193","DE","00+",2024-10-24,2024-11-17,4,"quantile",0.5,1693700
"194","DE","00+",2024-10-24,2024-11-17,4,"quantile",0.75,2033900
"195","DE","00+",2024-10-24,2024-11-17,4,"quantile",0.9,2376500
"196","DE","00+",2024-10-24,2024-11-17,4,"quantile",0.975,2801900
"197","DE","00-04",2024-10-24,2024-10-27,1,"quantile",0.025,99700
"198","DE","00-04",2024-10-24,2024-10-27,1,"quantile",0.1,124500
"199","DE","00-04",2024-10-24,2024-10-27,1,"quantile",0.25,151500
"200","DE","00-04",2024-10-24,2024-10-27,1,"quantile",0.5,184300
"201","DE","00-04",2024-10-24,2024-10-27,1,"quantile",0.75,220600
"202","DE","00-04",2024-10-24,2024-10-27,1,"quantile",0.9,256100
"203","DE","00-04",2024-10-24,2024-10-27,1,"quantile",0.975,298500
"204","DE","00-04",2024-10-24,2024-11-03,2,"quantile",0.025,101600
"205","DE","00-04",2024-10-24,2024-11-03,2,"quantile",0.1,128500
"206","DE","00-04",2024-10-24,2024-11-03,2,"quantile",0.25,158000
"207","DE","00-04",2024-10-24,2024-11-03,2,"quantile",0.5,195200
"208","DE","00-04",2024-10-24,2024-11-03,2,"quantile",0.75,237200
"209","DE","00-04",2024-10-24,2024-11-03,2,"quantile",0.9,279300
"210","DE","00-04",2024-10-24,2024-11-03,2,"quantile",0.975,330800
"211","DE","00-04",2024-10-24,2024-11-10,3,"quantile",0.025,103400
"212","DE","00-04",2024-10-24,2024-11-10,3,"quantile",0.1,132700
"213","DE","00-04",2024-10-24,2024-11-10,3,"quantile",0.25,165000
"214","DE","00-04",2024-10-24,2024-11-10,3,"quantile",0.5,206800
"215","DE","00-04",2024-10-24,2024-11-10,3,"quantile",0.75,254800
"216","DE","00-04",2024-10-24,2024-11-10,3,"quantile",0.9,303800
"217","DE","00-04",2024-10-24,2024-11-10,3,"quantile",0.975,364900
"218","DE","00-04",2024-10-24,2024-11-17,4,"quantile",0.025,105300
"219","DE","00-04",2024-10-24,2024-11-17,4,"quantile",0.1,137000
"220","DE","00-04",2024-10-24,2024-11-17,4,"quantile",0.25,172400
"221","DE","00-04",2024-10-24,2024-11-17,4,"quantile",0.5,218900
"222","DE","00-04",2024-10-24,2024-11-17,4,"quantile",0.75,273400
"223","DE","00-04",2024-10-24,2024-11-17,4,"quantile",0.9,329700
"224","DE","00-04",2024-10-24,2024-11-17,4,"quantile",0.975,401000
"225","DE","05-14",2024-10-24,2024-10-27,1,"quantile",0.025,66000
"226","DE","05-14",2024-10-24,2024-10-27,1,"quantile",0.1,89600
"227","DE","05-14",2024-10-24,2024-10-27,1,"quantile",0.25,116400
"228","DE","05-14",2024-10-24,2024-10-27,1,"quantile",0.5,150800
"229","DE","05-14",2024-10-24,2024-10-27,1,"quantile",0.75,190500
"230","DE","05-14",2024-10-24,2024-10-27,1,"quantile",0.9,231100
"231","DE","05-14",2024-10-24,2024-10-27,1,"quantile",0.975,282000
"232","DE","05-14",2024-10-24,2024-11-03,2,"quantile",0.025,65600
"233","DE","05-14",2024-10-24,2024-11-03,2,"quantile",0.1,91100
"234","DE","05-14",2024-10-24,2024-11-03,2,"quantile",0.25,120700
"235","DE","05-14",2024-10-24,2024-11-03,2,"quantile",0.5,160300
"236","DE","05-14",2024-10-24,2024-11-03,2,"quantile",0.75,207600
"237","DE","05-14",2024-10-24,2024-11-03,2,"quantile",0.9,257400
"238","DE","05-14",2024-10-24,2024-11-03,2,"quantile",0.975,321500
"239","DE","05-14",2024-10-24,2024-11-10,3,"quantile",0.025,65100
"240","DE","05-14",2024-10-24,2024-11-10,3,"quantile",0.1,92700
"241","DE","05-14",2024-10-24,2024-11-10,3,"quantile",0.25,125400
"242","DE","05-14",2024-10-24,2024-11-10,3,"quantile",0.5,170700
"243","DE","05-14",2024-10-24,2024-11-10,3,"quantile",0.75,226100
"244","DE","05-14",2024-10-24,2024-11-10,3,"quantile",0.9,285800
"245","DE","05-14",2024-10-24,2024-11-10,3,"quantile",0.975,364100
"246","DE","05-14",2024-10-24,2024-11-17,4,"quantile",0.025,64600
"247","DE","05-14",2024-10-24,2024-11-17,4,"quantile",0.1,94600
"248","DE","05-14",2024-10-24,2024-11-17,4,"quantile",0.25,130600
"249","DE","05-14",2024-10-24,2024-11-17,4,"quantile",0.5,181800
"250","DE","05-14",2024-10-24,2024-11-17,4,"quantile",0.75,246200
"251","DE","05-14",2024-10-24,2024-11-17,4,"quantile",0.9,316600
"252","DE","05-14",2024-10-24,2024-11-17,4,"quantile",0.975,410600
"253","DE","15-34",2024-10-24,2024-10-27,1,"quantile",0.025,298500
"254","DE","15-34",2024-10-24,2024-10-27,1,"quantile",0.1,356700
"255","DE","15-34",2024-10-24,2024-10-27,1,"quantile",0.25,415700
"256","DE","15-34",2024-10-24,2024-10-27,1,"quantile",0.5,489500
"257","DE","15-34",2024-10-24,2024-10-27,1,"quantile",0.75,572400
"258","DE","15-34",2024-10-24,2024-10-27,1,"quantile",0.9,655300
"259","DE","15-34",2024-10-24,2024-10-27,1,"quantile",0.975,757700
"260","DE","15-34",2024-10-24,2024-11-03,2,"quantile",0.025,288800
"261","DE","15-34",2024-10-24,2024-11-03,2,"quantile",0.1,358900
"262","DE","15-34",2024-10-24,2024-11-03,2,"quantile",0.25,431500
"263","DE","15-34",2024-10-24,2024-11-03,2,"quantile",0.5,524000
"264","DE","15-34",2024-10-24,2024-11-03,2,"quantile",0.75,630100
"265","DE","15-34",2024-10-24,2024-11-03,2,"quantile",0.9,737900
"266","DE","15-34",2024-10-24,2024-11-03,2,"quantile",0.975,873000
"267","DE","15-34",2024-10-24,2024-11-10,3,"quantile",0.025,281300
